Header,Article,Date
Header,Article,Date
Oxfam sends aid truck from Bicester to Gaza after truce collapsesPublished5 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"An Oxford-based charity has sent a five-tonne aid shipment to Gaza for those in ""desperate"" need. On Monday Oxfam sent a truck, loaded with water and sanitation equipment, from its warehouse in Bicester, Oxfordshire. New evacuations into southern Gaza have been orderedafter a week-long truce between Israel and Hamas collapsed on Friday. Nesrine Aly, from Oxfam, said it was ""anxious"" to get the aid to Gaza. The truck left at 09:30 GMT, loaded with equipment including bladder tanks, tap stands and water testing kits. Ms Aly, who is an international news manager at Oxfam, said: ""We don't know how much time it will take to get into Gaza, it all depends on the situation on the border. ""We're hoping that this is as fast and as smooth as possible to reach people desperately needing aid. ""The people are really in horrendous, apocalyptic conditions, so they need this aid as soon as possible."" Oxfam said it was calling ""for an immediate, permanent ceasefire, the release of all hostages without conditions and full access for the delivery of humanitarian aid, via both Israel and Egypt"". Follow BBC South onFacebook,X, orInstagram. Send your story ideas to south.newsonline@bbc.co.uk.",2023-12-05T06:10:27.000Z
Header,Article,Date
Israel orders evacuations from city in south Gaza as offensive widensPublished4 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"Israel's military has ordered the evacuation of a fifth of the main city in southern Gaza, as it expands its ground offensive against Hamas. A map showed six northern and central areas of Khan Younis where an estimated 167,000 people needed to leave. Witnesses also reported seeing tanks to the east, and a doctor said a local hospital was overwhelmed by casualties. In Gaza City, an unconfirmed report says 50 people were killed when Israeli air strikes hit two schools. According to the Palestinian news agency Wafa, they died in schools sheltering displaced people in the city's Daraj neighbourhood. Reuters news agency has said that the strikes are still to be independently verified and that the Hamas-run health ministry could not be reached for comment. The Israeli army said it was looking into the report. Many of Gaza's 2.3 million residents are sheltering in the south after being previously ordered to leave the north. The Israeli military said it would operate with ""maximum force"" in the south, as it had done in the north - where there has been widespread destruction over the past eight weeks. Israel launched a full-scale campaign in Gaza in response to an unprecedented cross-border attack by Hamas gunmen on 7 October, in which at least 1,200 people were killed and about 240 others taken hostage. Gaza's Hamas-run health ministry says almost 15,900 people have been killed in the territory since the war began, while the UN says a humanitarian catastrophe is unfolding. A temporary ceasefire that lasted for seven days, which led to the release of 105 of the hostages and 240 Palestinians held in Israeli jails, fell apart on Friday. BBC Gaza correspondent Rushdi Abu Alouf, who is currently in Istanbul, says about 200 Israeli air strikes were reported overnight. About 15 to 20 locations were targeted in and around Khan Younis, where the local population has swelled to as much as 1.2 million, according to local authorities. The central town of Deir al-Balah, about 8km (5 miles) to the north, was also bombed heavily. Dozens of casualties, including women and children, arrived at Khan Younis's Nasser Hospital from different areas. Many were dead or seriously injured. Mohammed Eid wiped tears from his bandaged face as he lined up among the mourners by bodies covered in white shrouds outside the hospital on Monday morning. ""We were sleeping safely, minding our own business. Suddenly, a bomb fell on us, and the whole building was destroyed,"" he told the BBC. ""My brother was torn into pieces, and so was his wife. My daughter was killed, and his daughters were killed, including his littlest. We can't find my mum, and my niece."" Later, witnesses and local journalists in Gaza reported that they had seen Israeli tanks and armoured vehicles on the eastern outskirts of Khan Younis, by Abasan and Khuzaa, which is nearest to the boundary fence with Israel. Moaz Mohammed told AFP news agency that he had seen tanks moving down the main north-south highway, Salah al-Din Road, which has been one of two Israeli-designated evacuation routes. The tanks were ""firing bullets and tank shells at cars and people trying to move through the area"" between Deir al-Balah and Khan Younis, he said. At the same time, the Israel Defense Forces (IDF) warned civilians to avoid a section of Salah al-Din Road in the same area, saying it now constituted a ""battlefield"" and was ""extremely dangerous"". The IDF also posted a mapthat ordered residents of six northern and central neighbourhoods of Khan Younis - al-Mahatta, al-Katiba, Hamad, al-Satir, Bani Suheila and Ma'in - to leave immediately to ""preserve your safety and security"". According to the UN, the marked area in Khan Younis was home to almost 117,000 people before the war. It also includes 21 shelters where 50,000 displaced people are currently living. The map tells them to move to al-Fukhari, east of Khan Younis, and Rafah's al-Shaboura and Tal al-Sultan neighbourhoods, which are already overcrowded. IDF chief spokesman Rear Admiral Daniel Hagari said in a statement that Israeli forces were continuing to operate with ""maximum force against Hamas terrorists and infrastructure, while minimising harm to the civilians that Hamas places around them as shields"". ""We are dropping leaflets with QR codes that opens a map guiding Gazans to safer areas. The map is divided into neighbourhood numbers indicating where civilians in a specific area should go to avoid being in the crossfire,"" he added. The IDF has introduced the scheme because it is under heavy pressure from the US to protect civilians. However, our Gaza correspondent says he has spoken to Palestinians in the affected areas who are not aware of the map or cannot see it because there is no internet coverage. ""This is a joke, not a map, because we don't know where to go,"" a displaced person who was sheltering in Khan Younis told him. Meanwhile, an orthopaedic surgeon at the European Hospital in Khan Younis told the BBC that it was overwhelmed by hundreds of wounded. ""It is chaotic - we can't absorb any more patients and they keep coming,"" Dr Paul Ley said. ""We have more than 360 people on the operating list, which is impossible to deal with."" Dr Ley also said the hospital's corridors and grounds were full with 6,000 to 7,000 displaced people, some of whom were medics who had fled the north. ""Anaesthetics and pain killers are a big problem - we are running out slowly so we are lowering our safety standards. We never leave the hospital and our presence here has been notified to the Israelis, but shrapnel has reached the hospital,"" he added. Médecins Sans Frontières also warned that more than 100 dead and over 400 injured people had arrived at the emergency room of Al-Aqsa hospital in Deir al-Balah in the last 48 hours, and that there was no space for new patients. The UN said on Monday that four hospitals in the north were partially operating and admitting patients, with only limited services. The 12 hospitals in the south are partially functional, but bed capacity is only half what it was before the war and only one hospital can perform complex surgery.",2023-12-04T23:14:59.000Z
Header,Article,Date
Teenage British-Israeli soldier Binyamin Needham killed in GazaPublished4 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"A British-Israeli teenager has been killed in Gaza while serving in the Israel Defense Forces (IDF). Binyamin Needham, 19, reportedly moved from England to Israel with his family when he was eight-years-old. He is at least the second UK citizen to have died while serving in the Israeli military during the current conflict. Mr Needham's sister told Israeli media her brother was ""always smiling, always loving"" and had only recently completed his training. Speaking to the Israeli newspaperHaaretz, sister Orly said:  ""He was so proud, and he had just finished basic training. He was happy to defend the country."" She told Israeli public broadcaster Kan News Mr Needham was ""happy to be in the army and to be protecting the Jewish people and our homeland"", adding: ""We are so, so proud of him."" Mr Needham's death was confirmed by the IDF in a statement, which said he had been posthumously promoted to the rank of sergeant. He was one of three fatalities confirmed by the Israeli military on Monday, taking its death toll to 75since the current conflict between Israel and Gaza broke out. An IDF statement said Mr Needham was serving with the Combat Engineering Corps and ""fell in battle in the northern Gaza Strip"". Nathanel Young, 20,was the first British solider serving with the IDFto be killed. He died on 7 October near the border with Gaza, his family said. The UK Foreign, Commonwealth and Development Office has been contacted for comment.",2023-12-04T22:42:13.000Z
Header,Article,Date
Rushdi Abualouf: 'It's so much harder to watch Gaza from the outside'Published4 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"The BBC's Rushdi Abualouf, who has reported from Gaza for decades, left the territory with his family on 20 November for the sake of their safety. It was six weeks after the Hamas attacks on southern Israel that has led to weeks of Israeli bombardment within Gaza. He is now in Istanbul, Turkey. Speaking on the BBC's Newshour programme, he described how it felt to leave his home and observe Gaza from the outside. My family and I grew up in Gaza, we were born in Gaza. I really feel sad that I have had to leave in this way. I have a memory from every corner of my house, and from every corner of my neighbourhood. The rest of my wife's family - her father, mother and brother - are still there, while my father, brothers and sisters also remain in Gaza. To be honest, it's more difficult for me to watch Gaza from the outside, because when I was there, inside the enclave, I was busy dealing with too many things and not thinking about the situation in the Strip. Now, when you are out, you have more time to think. And it's very hard for me to imagine that I will no longer see my house or sleep in my bed, and I will no longer see my neighbours and my neighbourhood. Since we left for Istanbul, we were told that our home was destroyed. I mean the whole building, the whole neighbourhood was destroyed. Some of my BBC Arabic colleagues are still there. I met them all one night before I left because I wasn't sure about the timing, and there was a surprise call in the night telling me to leave. I told them I would do everything I could to get them out. ""Be strong and work together, the BBC is very proud of you, the BBC will do everything possible to protect you and try to get you out,"" I told them. I've called them every morning since I left Gaza. I'm always with them, always advising them, helping them solve every problem they are facing in their location or with their family, and hopefully they will be out soon. My family had a chance to leave right at the beginning. When Hamas attacked southern Israel on 7 October, my first call was to the BBC to tell them what happened. The second was to my wife. I said to her: ""Please prepare your bag, you have to leave Gaza now."" I was expecting a very big retaliation from Israel, and the Rafah crossing was still open for the first couple of days after the Hamas raids. At the beginning, my wife did not realise how big the situation would be and how dangerous it was. I would have to stay to work, and because she didn't want us to be apart, she refused and said: ""We will stay together, live together."" On the third day we lost this chance - the Rafah crossing was bombed and closed. And then you have to deal with so many things. You have to deal with your old father who lives far away from you. You have to learn to deal with your family and you have to deal with your job. You have to report, and all the time in the back of your mind is your father, in the back of your mind is your wife, your kids, your place - whenever they drop a bomb, you think: is it close to your house? After we were forced to leave Gaza City, we first arrived in Khan Younis and stayed with family for a couple of days. Then there was a warning that the house would be bombed. So we had to leave and found ourselves with nowhere to go. I decided to put up a tent near a workspace I'd set up in Nasr hospital in Khan Younis. My family stayed there for about a week. I found a house near the hospital so that they could be close to me, so if something happened I could rush to them. My flat in Gaza City was 170 sq m, but now everyone was squeezed into one small room. They were worried about me not being with them all the time, and also there was not enough food. My wife was injured that day when she tried to come and see me. The kids were crying that they wanted to see their dad and they decided to go from the house to the hospital. When they arrived, one of the buildings was hit - that day they almost died. Now that we are out, I know that I will definitely go back. I always say as a journalist that Gaza is the perfect place to be - because you will find a story on every corner. But for me personally, my family has been suffering for a very long time. I told my wife when we left Gaza, when we walked out of the gate: ""I will not let you go back under any circumstances. ""So you have to start establishing your life somewhere else."" Now my kids are happy to be out, to go back to a normal life, though they still miss everything. But I am a journalist, and as soon as the situation allows me to go back to Gaza I will, because I'm connected to this story and I think those 2.3 million people in the Strip deserve having somebody to tell their story.",2023-12-04T20:39:35.000Z
Header,Article,Date
Tributes to former Glasgow university student killed in GazaPublished4 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"Tributes have been paid to a former University of Glasgow student who has died in Gaza. Dima Alhaj was killed last month alongside her six-month-old baby, her husband and her two brothers. Roseann Maguire, who hosted Ms Alhaj in Glasgow for two months, remembered her as a ""lovely young woman"". Ms Alhaj was working for the World Health Organisation (WHO), who announced the news of her death on social media. Dozens of her family members were also killed in the explosion, believed to have been caused by an airstrike. The 29-year-old had studied in Glasgow as part of the Erasmus programme, before returning to Gaza where she worked with the WHO Trauma and Emergency Team. Ms Maguire recalled that the former student had always planned to return home to Gaza after her studies. She said: ""Dima was very concerned about the situation of people in Gaza, and she wanted to go back and help in some way. That was the kind of young woman she was."" Ms Alhaj stayed with Ms Maguire and Gerry O'Hare in their Glasgow home after her initial accommodation plans fell through. Ms Maguire recalled: ""She really enjoyed the freedom of Glasgow... She called us her second family."" The three remained in touch after Ms Alhaj returned to Gaza. Mr O'Hare became friends with her father, a doctor in the area. Ms Maguire last heard from Ms Alhaj on 13 November, just over a week before she was killed. She said: ""The messages started saying 'this is terrible', and then got shorter [as time went on]. They were just saying 'I'm alive. Pray for me.'"" The last message sent to Ms Maguire stated: ""No words to express. Please pray for us. This is Abood, my little boy. I hope he lives to see better days."" Mr O'Hare, who once visited the Alhaj family in Gaza, added: ""This was a family house, they showed me round the fruit trees. For the life of me I can't understand why a family home, detached, would be the subject of a massive bomb attack."" More than 100 University of Glasgow students and members of the public attended a candlelight vigil held in Ms Alhaj's memory last week. Officials in Gaza say more than 14,800 people including about 6,000 children have been killed since Israel began its military campaign against Hamas there, with thousands more believed to be dead under rubble. It follows Hamas's attack on Israel on 7 October during which it killed about 1,200 people and kidnapped 240 others. Israel's bombardment of Gaza has now resumed after a temporary ceasefire ended on Friday.",2023-12-04T18:42:09.000Z
Header,Article,Date
Hamas planned sexual violence as weapon of war - Israeli campaignerPublished4 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"Hamas had a premeditated plan to use sexual violence as a weapon of war, an Israeli women's rights campaigner and lawyer has said. Prof Ruth Halperin-Kaddari said she saw footage of women in several locations whose condition left her in ""no doubt"" that they had been raped. There has been anger over the delay of some UN bodies to acknowledge claims of Hamas's sexual atrocities on 7 October. Israel has been exploring evidence of sexual crimes during the attacks. Warning: This article contains graphic details which some readers may find upsetting Israeli police say they have so far gathered more than 1,500 testimonies from witnesses and medics. Hamas has denied the group carried out sexual violence during the 7 October attacks. Pictures and live footage streamed by the militants pointed to the gruesome nature of the attacks atthe Supernova festival. A range of violence from gang rape to the sexual mutilation of murdered victims are being investigated by police. ""I saw a number of first-hand, eyewitness accounts, for example of one survivor who hid in the bushes and saw a woman next to her being raped by several men,"" Prof Halperin-Kaddari told BBC Radio 4's Today programme. She said she also spoke to a paramedic who treated a woman who lost a life-threatening amount of blood after reporting being raped by four men. ""I saw footage and pictures from numerous locations of bodies whose condition were all exhibiting the same pattern of mutilation and leaving no doubt that rape was performed on these women before they were executed,"" she said. Prof Halperin-Kaddari added that the the concentration of cases, all in one day but in several locations left her in ""no doubt"" that there was a ""premeditation to use sexual violence as a weapon of war."" Hamas said it ""rejected and strongly denounced"" the reports of abuses. In a post on the messaging app Telegram, it said that such claims were ""lies"" by Israel that sought to distort the ""humane"" way Hamas has treated Israeli hostages. Hamas took some 240 people hostage on 7 October - 110 were released last week as part of a truce with Israel. Israeli women's rights and legal activists had been calling on key international organisations to publicly acknowledge reports of gender-based violence, including sexual violence, in the wake of Hamas's attacks. On Monday, dozens of demonstrators gathered outside the UN headquarters in New York, protesting over what they said was its inaction over the rape, abduction and mistreatment of Israeli women. Prof Halperin-Kaddari, who spent 12 years as a member of a UN convention on discrimination against women, said she and others have been calling on UN bodies to acknowledge these ""crimes against humanity"". ""Regrettably, until a week ago, none of them said the explicit word 'sexual violence'. It took them more than seven weeks,"" she said. The UN has yet to respond to accusations of a delay, but Prof Halperin-Kaddari visited the UN in Geneva just a week ago to draw attention to the violence. UN Women issued a statement - eight weeks after the attacks - acknowledging accounts of gender-based atrocities. ""This took them too long, much too long,"" Prof Halperin-Kaddari added. Yael Sherer from the Lobby to Combat Sexual Violence advocacy group told Today that men were also victims of sexual violence on 7 October. She said evidence is being gathered from some survivors of the attacks, as well as eyewitnesses and first responders, who have been detailing the violence. ""Hamas terrorists made sure to disgrace these people and dishonour them in many ways,"" she said. This included violence carried out on the victims' bodies after they had died, Ms Sherer added. ""We also saw people who were bleeding... [and] people who were tied down to furniture with zip-ties, and were not clothed, of many ages."" An ongoing UN commission of inquiry investigating alleged war crimes on both sides of the Israel-Hamas conflict will include a focus on sexual violence carried out during the attacks on 7 October. However, Israel has not so far co-operated with the commission, viewing it as biased. Navi Pillay, who chairs the inquiry, said if Tel Aviv did not want to co-operate, her team could still take evidence from survivors and witnesses outside the country. ""All they [Israel] have to do is let us in,"" she told the BBC, adding that survivors of the attacks should be able to get a UN hearing. Ms Pillay also rejected claims that the UN delayed acknowledging that sexual violence had taken place during Hamas's attacks and said ""every effort"" was being made as part of her team's investigations. The Hamas attack on Israel on 7 October killed 1,200 people. Since then, Gaza's Hamas-run health ministry says more than 15,500 people have been killed in Israel's military campaign which it launched in response.",2023-12-04T17:43:46.000Z
Header,Article,Date
"'Wounded child, no surviving family': The pain of Gaza’s orphansPublished4 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war","Medics working in the Gaza Strip are using a specific phrase to describe a particular kind of war victim. ""There's an acronym that's unique to the Gaza Strip, it's WCNSF - wounded child, no surviving family - and it's not used infrequently,"" Dr Tanya Haj-Hassan who works with Doctors Without Borders told BBC News. The expression captures the horror of the situation for many Gazan children. Their lives change in a second - their parents, siblings and grandparents are killed, and nothing is the same ever again. The war began after Hamas attacked Israel on 7 October killing 1,200 people and taking around 240 others hostage, and Israel launched its military campaign. More than 15,500 people have been killed in the conflict, including about 6,000 children, according to Gaza's Hamas-run health ministry. Ahmed Shabat is one of those children who was described as a wounded child, with no surviving family, when he arrived injured and crying at the Indonesian Hospital in northern Gaza. The three-year-old survived an air strike on his home in Beit Hanoun, in mid-November. But his father, mother and older brother were killed. Miraculously, at the time he had only minor injuries. Later it was revealed his younger brother Omar, aged two, had also survived the strike and they were reunited after an adult member of the wider family was located. ""After the bombing, we learned there was a child in the Indonesian hospital with no-one accompanying him, so we went there immediately,"" Ahmed's uncle Ibrahim Abu Amsha explained. ""Ahmed was with a stranger. He said Ahmed had been blown into the air and was found injured about 20m (65ft) from the house."" Ahmed and Omar were now orphans, homeless, with no shelter to protect them from continuous shelling, so Ibrahim decided to look after them, along with his own family. He initially took them to Sheikh Radwan city but said they left after ""Ahmed was hit by glass fragments"" from an explosion. They then went to Nuseirat camp to stay in a UN-affiliated school. But even in their new location, they were hit again, with devastating consequences for Ahmed. ""I ran out of the school's door and saw Ahmed in front of me on the ground, both legs gone. He was crawling towards me, opening his arms, seeking help."" A family member, who was with Ahmed at the time of the blast, was killed. Ibrahim, who is still displaced with his own family as well as his sister's children, says he dreams of being able to send Ahmed for treatment outside Gaza. ""He wanted to be many things,"" his uncle said sadly. ""When we went out together to attend football matches, he said he wished to become a famous football player."" Like Ahmed, Muna Alwan is also a war orphan and was described as WCNSF when she arrived at the Indonesian Hospital. The two-year-old constantly cries ""Mama"", but her mum is dead. Muna was pulled from under the rubble after an air strike hit a neighbour's house in the Jabal al-Rais area of northern Gaza. Muna's parents, brother and grandfather were killed. Muna's eye was badly injured and her jaw fractured. Muna was transferred to another hospital where she was tracked down by her aunt Hanaa. ""We knew through the internet that Muna was at Nasser Hospital. We came, and we recognised her,"" Hanaa explains. But she says her niece is suffering terribly. ""She just wants to scream, always afraid, especially if someone approaches her,"" Hanaa adds. Muna does have older sisters who are alive but they are in Gaza City. ""They are stuck and there is no way to bring them to the south,"" Hanaa says, adding: ""I constantly ask myself, what will we do? How do we compensate for her mother?"" On a metal bed in the corner of a room at Nasser Hospital in Khan Yunis, southern Gaza, 11-year-old Dunya Abu Mehsen looks at what remains of her right leg wrapped in white bandages. The girl, with long curly hair, sits at the edge of the bed, wearing a velvety red dress, silent most of the time, appearing deeply sad. Dunya survived an air strike with her brother, Yusuf, and her younger sister that hit when they were all sleeping at their home in the al-Amal neighbourhood in Khan Yunis, southern Gaza. But her parents, brother and sister were killed. She also lost her right leg. ""When I saw my dad, I was scared because he was covered in blood and stones. People were standing around us, and my sister was screaming,"" Dunya recounts. ""I looked at myself and I didn't have a leg. I felt pain and my only thought was: 'How did I lose my leg?'"" ""Dunya doesn't recall how and when she arrived at the hospital, but she remembers being there alone, and the medical staff repeatedly asking her questions in an attempt to identify her family,"" explains her aunt Fadwa Abu Mehsen. ""She told me: 'I heard the nurse say, 'may God have mercy on them'. I knew she meant my mum and dad.'"" Her aunt, sitting beside her in the hospital room with the wheelchair that has become the only means for the little girl to go outside and breathe fresh air, says: ""She used to be playful, strong and very active before her injury."" Dunya says: ""Today, I lost my leg and my family but I still have dreams. I want to get a prosthetic leg, travel, become a doctor, and for this war to end and our children to live in peace.'"" Determining the precise number of orphaned children in the Gaza Strip is challenging given the ""intensity of hostilities and rapidly evolving situation on the ground"", according to Ricardo Pires, the communication manager at the UN children's fund Unicef. Mr Pires adds that the organisation attempted to reach hospitals and health staff in Gaza to identify and register children, but ""these efforts are proceeding very slowly due to the extremely challenging conditions"". He explained not only was it ""almost impossible"" to identify safe, temporary care arrangements due to ""chaotic and overcrowded"" shelters and hospitals, but ""the normal system to identify document, trace and reunite children with relatives is barely functional"".",2023-12-04T16:19:23.000Z
Header,Article,Date
US warship shoots down drones fired from Houthi-held Yemen in Red SeaPublished4 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"A US warship shot down three drones after three commercial vessels came under attack in the Red Sea, the US military has said. It said the USS Carney assisted the ships - which had links to 14 nations including the UK - on Sunday after they were targeted from areas of Yemen held by Iran-backed Houthi rebels. Two of the ships were hit by missiles but there were no casualties, it added. A Houthi spokesman said the group's navy had attacked two Israeli ships. The Israeli military said the vessels had no connection to Israel. The Iranian-backed Houthis have controlled parts of Yemen since the movement toppled the country's government in 2014, sparking an ongoing civil war. It has recently begun targeting Israel-linked vessels in the Red Sea over Israel's war with Iranian-backed Hamas in Gaza. US Central Command (Centcom), part of the US military which oversees operations in the Middle East, said that on Sunday morning, the USS Carney detected an anti-ship ballistic missile exploding near the Unity Explorer, a Bahamian-flagged, UK-owned and operated cargo ship. It later shot down a drone that was heading towards the Carney itself, although Centcom said it was not clear whether the drone was targeting the Carney. That afternoon, the Unity Explorer suffered minor damage after being struck by a missile fired from Houthi-controlled area. While responding to a distress call from the ship, the US vessel detected and shot down another incoming drone. Later, two more ships - one of them part UK-owned, both of them flagged in Panama - reported being struck by missiles. While on its way to assist the second ship, the USS Carney shot down a third drone. Centcom said the attacks had ""jeopardised the lives"" of the ships' multinational crews and represented a ""direct threat to international commerce and maritime security"". ""We also have every reason to believe that these attacks, while launched by the Houthis in Yemen, are fully enabled by Iran,"" it said. ""The United States will consider all appropriate responses in full coordination with its international allies and partners."" Earlier this week, the US said its warship captured armed men who had earlier seized an Israeli-linked tanker off Yemen's coast. Centcom reported that two missiles were then fired towards the warship from rebel Houthi-controlled territory in Yemen. The Houthis have declared themselves part of an ""axis of resistance"" of Iran-affiliated groups, which works in opposition to Israel, the US, and the wider West.",2023-12-04T02:14:42.000Z
Header,Article,Date
Israeli forces pushing into south GazaPublished3 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"Israeli ground forces are pushing into southern Gaza, after three days of heavy bombardment. Initial reports from Israeli army radio effectively confirmed Israel has launched a ground operation to the north of Khan Younis. The BBC has also verified images of an Israeli tank operating near the city. The head of the Israel Defense Forces (IDF) later told troops the IDF was also fighting ""strongly and thoroughly"" in south Gaza. Lt General Herzi Halevi was speaking to reservists from the Gaza division about military objectives and the IDF's killing of Hamas commanders. He told the soldiers: ""We fought strongly and thoroughly in the northern Gaza Strip, and we are also doing it now in the southern Gaza Strip"". An IDF spokesman later confirmed Israel ""continues to expand the ground incursion"" across all of Gaza, including troops ""conducting face to face battles with terrorists"". Since a week-long ceasefire ended on Friday, Israel has resumed a large-scale bombing campaign on Gaza, which residents of Khan Younis have described as the heaviest wave of attacks so far. The seven-day truce saw Hamas release 110 hostages being held in Gaza in return for 240 Palestinians being released from Israeli prisons. On Sunday morning, the Israeli army issued evacuation orders for several districts of Khan Younis, urging people to leave immediately. Israeli authorities believe members of the Hamas leadership are hiding in the city, where hundreds of thousands of people have been sheltering after fleeing fighting in the north in the early stages of the war. A UN official has described a ""degree of panic"" he has not seen before in a Gaza hospital, after the Israeli military shifted the focus of its offensive to the south. James Elder, from the children's agency Unicef, described Nasser Medical Hospital in Khan Younis as a ""warzone"". An adviser to Israel's prime minister said Israel is making ""maximum effort"" to avoid killing civilians. Mr Elder told the BBC he could hear constant large explosions close to the Nasser hospital and children were arriving with head injuries, terrible burns, and shrapnel from recent blasts. ""It's a hospital I've gone to regularly and the children know me now, the families know me now. Those same people are grabbing my hand, or grabbing my shirt saying 'please take us somewhere safe. Where is safe?'"" ""They are unfortunately asking a question to which the only answer is there is nowhere safe. And that includes for them, as they know, that hospital,"" he said. The Hamas-run health ministry in Gaza says more than 500 people have been killed since the bombing resumed. More than 15,500 people have been killed in the strip since the war began, the ministry also said. Mohammed Ghalayini, a British-Palestinian who has stayed in Gaza, said the situation in the city was ""beyond catastrophic"". ""People have been, for 50 days or more, withstanding brutal Israeli onslaught and are very low on all resources - food, water, power and the sanitation and the waste services,"" he told the BBC by phone, before the connection cut off. The air pollution expert, who normally lives in Manchester, arrived in Gaza for a three-month visit to see his mother shortly before the 7 October attacks. Israel began its retaliatory bombing of Gaza following Hamas's attacks on southern Israel on 7 October, which saw around 1,200 people killed and 240 taken hostage. Rockets have also been regularly fired at Israel from Gaza since fighting resumed on Friday. A 22-year-old man in the city of Holon, near Tel Aviv, was treated for minor shrapnel injuries on Saturday. Hundreds of thousands of people have already fled the fighting to take shelter in Khan Younis, after Israel told them to leave the north of the strip. The latest UN update says around 1.8 million people are internally displaced in Gaza. Speaking to the BBC, the UN's High Commissioner for Refugees chief, Filippo Grandi, said Palestinians in the Gaza Strip are being ""pushed more and more towards a narrow corner of what is already a very narrow territory"". The IDF has begun posting maps of areas set to be attacked online. It says these maps, along with other measures like phone calls and leaflets being dropped on Gaza by plane, will warn people to evacuate. Speaking to the BBC's Sunday with Laura Kuenssberg programme, Prime Minister Benjamin Netanyahu's senior adviser Mark Regev said civilians are not targets and protecting them is made more difficult by Hamas ""embedding its military terror machine"" in civilian neighbourhoods. He says the IDF are trying to be ""as surgical as we can in a very difficult combat situation"", and has given advance warning of attacks. Separately, the IDF say they have destroyed 500 ""terror tunnel"" shafts used by Hamas in Gaza, out of the 800 they say have been found so far. It also said around 10,000 air strikes on ""terror targets"" have been carried out by the air force ""under the guidance of IDF soldiers on the ground"" since the war began.",2023-12-03T20:45:25.000Z
Header,Article,Date
Israel-Gaza: UK launches surveillance flights to find Hamas hostagesPublished2 December 2023Shareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"The UK will carry out unarmed surveillance flights over the Middle East to search for Hamas hostage locations, the Ministry of Defence says. The flights will help gather intelligence on potential hostage whereabouts. Five British nationals are missing and the UK government has not said how many could be held by Hamas. ""The safety of British nationals is our utmost priority,"" the MoD said. ""In support of the ongoing hostage rescue activity, the Ministry of Defence will conduct surveillance flights over the eastern Mediterranean, including operating in air space over Israel and Gaza."" It added that the aircraft will be unarmed and will be tasked solely to locate hostages. ""Only information relating to hostage rescue will be passed to the relevant authorities responsible for hostage rescue."" The aircraft will includeShadow R1s, which the Royal Air Force use for intelligence gathering, ministry officials said. Information on the potential locations of hostages will be shared with Israel. More than 130 captives are thought to be in Gaza. The Pentagon saidunarmed UAV droneshad been deployed over Gaza in ""support of hostage recovery efforts"", earlier this month. ""The US is conducting unarmed UAV flights over Gaza, as well as providing advice and assistance to support our Israeli partner as they work on their hostage recovery efforts,"" the Pentagon said. Fighting resumed on Friday after a week-long truce in Gaza. The IDF said it had hit more than 400 Hamas targets on the first day. Gaza's Hamas-run health ministry says at least 193 people have been killed in the latest wave of Israeli attacks. The ministry says more than 15,200 people have died in the war in Gaza, sparked by Hamas's attack on Israel on 7 October that killed at least 1,200 people.",2023-12-02T22:37:51.000Z
Header,Article,Date
