,Country,News Publisher,Country Stance,Headline,parsed_dates,Headline Stance
976,UK,The Guardian,Pro Israel,Eurovision struggles to keep politics out as Israel controversy hits Malm√∂,,Neutral
977,UK,The Guardian,Pro Israel,Gaza diary part 11: amid the uncertainty and fear we discover a beacon,,Pro-Palestine
978,UK,The Guardian,Pro Israel,Netanyahu sets out uncompromising postwar vision as Israel pounds Gaza,,Pro-Israel
979,UK,The Guardian,Pro Israel,What will the children who survive the onslaught of Gaza think of those who let it happen?,,Pro-Israel
980,UK,The Guardian,Pro Israel,Arab ministers urge Israel to resume talks on two-state solution,,Neutral
981,UK,The Guardian,Pro Israel,"US aircraft carry out airdrops of aid to Gaza with 38,000 meals",,Pro-Palestine
982,UK,The Guardian,Pro Israel,Released hostage embodies the lost spirit of Israels kibbutzim,,Neutral
983,UK,The Guardian,Pro Israel,"Keir Starmer risks biggest rebellion of his leadership over Gaza vote, MPs warn",,Neutral
984,UK,The Guardian,Pro Israel,Gaza diary part 46: I have been sick for almost a week. Is it because of the half-rotten food we are eating?,,Pro-Palestine
985,UK,The Guardian,Pro Israel,Next phase of Gaza war risks unprecedented humanitarian crisis,,Pro-Palestine
986,UK,The Guardian,Pro Israel,What did Penny Wong say about recognising Palestinian statehood  and is Australia at odds with its allies?,,Pro-Palestine
987,UK,The Guardian,Pro Israel,Crackdowns intensify on pro-Palestine campus protests as hundreds arrested,,Pro-Palestine
988,UK,The Guardian,Pro Israel,A Ramadan unlike any other: Gaza grief casts a shadow over Sydney night markets,,Pro-Palestine
989,UK,The Guardian,Pro Israel,Martin Rowson on Christmas in Gaza  cartoon,,Pro-Palestine
990,UK,The Guardian,Pro Israel,"Israel reportedly close to accepting six-week Gaza ceasefire, US official says",,Pro-Israel
991,UK,The Guardian,Pro Israel,Ex-White House interns urge Biden to support immediate ceasefire in Gaza,,Pro-Israel
992,UK,The Guardian,Pro Israel,The Guardian view on the Hamas attack: a new and deadly chapter opens in the Middle East,,Neutral
993,UK,The Guardian,Pro Israel,"They took our home, our land, everything: Palestinians speak out against settlers on UK sanctions list",,Pro-Palestine
994,UK,The Guardian,Pro Israel,How strong is Hamas and could there be another ceasefire in Gaza?,,Pro-Palestine
995,UK,The Guardian,Pro Israel,The double standard with Israel and Palestine leaves us in moral darkness,,Neutral
996,UK,The Guardian,Pro Israel,Gaza: Israel moves closer to Rafah offensive despite bloodbath warning,,Pro-Israel
997,UK,The Guardian,Pro Israel,Israel under huge pressure to accept three-stage ceasefire agreed by Hamas,,Neutral
998,UK,The Guardian,Pro Israel,"Unless Israel changes course, it could be legally culpable for mass starvation",,Pro-Palestine
999,UK,The Guardian,Pro Israel,"As Israel obfuscates, Australia sends in retired defence chief to find answers on aid workers",,Pro-Palestine
1000,UK,The Guardian,Pro Israel,"Isolated at home and abroad, but Netanyahu isnt about to go quietly",,Pro-Palestine
1001,UK,The Guardian,Pro Israel,US calls for immediate Gaza ceasefire and hostage deal in draft UN resolution,,Pro-Palestine
1002,UK,The Guardian,Pro Israel,What will end the cycle of Israel-Palestine violence?,,Pro-Palestine
1003,UK,The Guardian,Pro Israel,Israel says 30 Palestinians released after 12 hostages returned from Gaza  as it happened,,Pro-Palestine
1004,UK,The Guardian,Pro Israel,"UK universities must show leadership over Gaza protests, says Gillian Keegan",,Pro-Palestine
1005,UK,The Guardian,Pro Israel,"Netanyahu is stuck as he battles Hamas: he cant afford to lose, yet cant find a way to win",,Neutral
1006,UK,The Guardian,Pro Israel,Labour peer Alf Dubs calls for refugee plan for Palestinians,,Pro-Palestine
1007,UK,The Guardian,Pro Israel,Talks under way to extend Israel-Hamas ceasefire as return to fighting looms,,Neutral
1008,UK,The Guardian,Pro Israel,Antony Blinken tells Israel: Palestinian rights are key to peace,,Neutral
1009,UK,The Guardian,Pro Israel,Middle East leaders hold emergency summit amid siege on Gaza hospital,,Neutral
1010,UK,The Guardian,Pro Israel,Palestinian Authority would face many challenges in a post-Hamas Gaza,,Neutral
1011,UK,The Guardian,Pro Israel,"For extremists trying to tear down democracy, this was pretty peaceful",,Pro-Palestine
1012,UK,The Guardian,Pro Israel,Nineteen California college students arrested over pro-Palestine protests,,Pro-Palestine
1013,UK,The Guardian,Pro Israel,World waits anxiously for Iranian response to Israels killing of top general,,Neutral
1014,UK,The Guardian,Pro Israel,Biden joins international calls for Israel to halt planned Rafah offensive,,Pro-Israel
1015,UK,The Guardian,Pro Israel,UN chief shocked by misrepresentation of comments in row with Israel,,Pro-Palestine
1016,UK,The Guardian,Pro Israel,Israel defence minister tells troops they will soon see Gaza  as it happened,,Pro-Palestine
1017,UK,The Guardian,Pro Israel,Hamas and Israel at war: what we know so far,,Neutral
1018,UK,The Guardian,Pro Israel,Israel hits Gaza with one of deadliest nights of bombings so far in war against Hamas,,Neutral
1019,UK,The Guardian,Pro Israel,Maritime authorities investigate reported attack on UK-registered cargo ship near Yemen,,Neutral
1020,UK,The Guardian,Pro Israel,Dozens attend protest in Tel Aviv against Israeli bombardment of Gaza,,Pro-Palestine
1021,UK,The Guardian,Pro Israel,NSW police say analysis shows pro-Palestine chant in viral Sydney Opera House video was wheres the Jews?,,Pro-Palestine
1022,UK,The Guardian,Pro Israel,Netanyahu rules out ceasefire deal that would mean Gaza withdrawal,,Neutral
1023,UK,The Guardian,Pro Israel,"They had no idea if their beloved ones were kidnapped, dead or missing: Ari Folman on filming the Israeli hostages families",,Pro-Palestine
1024,UK,The Guardian,Pro Israel,Israel yet to provide evidence to back UNRWA 7 October attack claims  UN,,Pro-Israel
1025,UK,The Guardian,Pro Israel,Warning: Benjamin Netanyahu is walking right into Hamass trap,,Pro-Israel
1026,UK,The Guardian,Pro Israel,How the right is weaponizing pro-Palestinian campus protests in the US,,Pro-Palestine
1027,UK,The Guardian,Pro Israel,Muslim leaders in Chicago spurn meeting with Biden officials citing Gaza war,,Neutral
1028,UK,The Guardian,Pro Israel,"Reports PM privately thinks Rwanda plan wont work are why costs must be published, Yvette Cooper says  as it happened",,Neutral
1029,UK,The Guardian,Pro Israel,Australia urged to reconsider support for Israel after ICJ ruling,,Pro-Israel
1030,UK,The Guardian,Pro Israel,Right to disconnect bill passes Senate as it happened,,Pro-Palestine
1031,UK,The Guardian,Pro Israel,Israels response to this terror must be resolute. But it must remain consistent with international law,,Pro-Palestine
1032,UK,The Guardian,Pro Israel,My children were saying: Let them just kill us: British doctor trapped in Gaza with family calls for ceasefire,,Pro-Palestine
1033,UK,The Guardian,Pro Israel,How do we stop terrorism when its repercussions are so devastating?,,Pro-Israel
1034,UK,The Guardian,Pro Israel,Alarm as Israeli forces move closer to crowded areas in southern Gaza,,Pro-Palestine
1035,UK,The Guardian,Pro Israel,"Middle East crisis: Netanyahu is major obstacle to peace and should call election, says Schumer  as it happened",,Pro-Palestine
1036,UK,The Guardian,Pro Israel,The releases gave us hope: relatives of Hamas hostages pray more can be freed,,Neutral
1037,UK,The Guardian,Pro Israel,"Keir Starmer defends his call for humanitarian pause in Gaza, saying it is quickest way to provide help  as it happened",,Neutral
1038,UK,The Guardian,Pro Israel,Iran says it executed four people it claims engaged in sabotage for Israel,,Pro-Israel
1039,UK,The Guardian,Pro Israel,Nearly a quarter of Labour MPs have called for ceasefire in Gaza,,Pro-Palestine
1040,UK,The Guardian,Pro Israel,Hes unfit: Israel fiercely divided over Netanyahus hostage response,,Neutral
1041,UK,The Guardian,Pro Israel,Israel and Hamas at war: what we know on day 32,,Neutral
1042,UK,The Guardian,Pro Israel,Israeli footage shows tanks carrying out 'targeted raid' in Gaza  video,,Pro-Palestine
1043,UK,The Guardian,Pro Israel,Five of the best books to understand the Israel-Palestine conflict,,Neutral
1044,UK,The Guardian,Pro Israel,Student protesters interrupt University of Michigan commencement,,Neutral
1045,UK,The Guardian,Pro Israel,Israeli settlers call for UN agencys closure in Jerusalem protest,,Pro-Palestine
1046,UK,The Guardian,Pro Israel,Riot police break up pro-Palestinian protest in Amsterdam  video,,Pro-Palestine
1047,UK,The Guardian,Pro Israel,"Crisis in Gaza: why food, water and power are running out",,Pro-Palestine
1048,UK,The Guardian,Pro Israel,Labours response to the crisis in Gaza is a test of whether its fit to govern,,Neutral
1049,UK,The Guardian,Pro Israel,Humza Yousaf does not know if parents-in-law in Gaza are alive or dead,,Pro-Palestine
1050,UK,The Guardian,Pro Israel,Can we trust casualty figures from the Hamas-run Gaza health ministry?,,Pro-Palestine
1051,UK,The Guardian,Pro Israel,Trinity College Dublin agrees to divest from Israeli firms after student protest,,Pro-Palestine
1052,UK,The Guardian,Pro Israel,Starmer facing test of authority as immediate Gaza ceasefire vote looms,,Neutral
1053,UK,The Guardian,Pro Israel,How can I sit down for a Ramadan feast while my loved ones in Gaza find no respite from their imposed starvation?,,Pro-Palestine
1054,UK,The Guardian,Pro Israel,"Gaza diary part seven: I am weak, I am vulnerable. But I want to live",,Pro-Palestine
1055,UK,The Guardian,Pro Israel,Tory ministerial aide sacked over call for Gaza ceasefire,,Pro-Palestine
1056,UK,The Guardian,Pro Israel,US warship rescues Israeli-linked tanker Central Park after attack in Gulf of Aden,,Neutral
1057,UK,The Guardian,Pro Israel,"Israeli airstrikes on Gaza have killed dozens of Hamas commanders, says IDF",,Pro-Israel
1058,UK,The Guardian,Pro Israel,USC vetoed a Muslim students graduation speech for her pro-Palestinian views. Why?,,Pro-Palestine
1059,UK,The Guardian,Pro Israel,"West wont stop Houthi attacks unless it works with Yemeni authorities, say experts",,Neutral
1060,UK,The Guardian,Pro Israel,Hamas has created additional demand: Wall Street eyes big profits from war,,Pro-Israel
1061,UK,The Guardian,Pro Israel,"Sinking of Rubymar in Red Sea poses grave environmental risks, experts warn",,Neutral
1062,UK,The Guardian,Pro Israel,UN general assembly votes to back Palestinian bid for membership,,Pro-Palestine
1063,UK,The Guardian,Pro Israel,Israel going on the offensive after retaking territories overrun by Hamas,,Pro-Israel
1064,UK,The Guardian,Pro Israel,UN proposal to speed up aid to Gaza focuses on inspecting shipments,,Neutral
1065,UK,The Guardian,Pro Israel,UN denies Gaza death toll of women and children has been revised down,,Pro-Israel
1066,UK,The Guardian,Pro Israel,Students walk out of Hillary Clintons class to protest Columbia shaming pro-Palestinian demonstrators,,Pro-Palestine
1067,UK,The Guardian,Pro Israel,"Middle East crisis: it could take 14 years to clear Gaza Strip of rubble and unexploded bombs, says UN official  as it happened",,Pro-Palestine
1068,UK,The Guardian,Pro Israel,"Labour must win back voters trust over Gaza, say Rachel Reeves and Sadiq Khan",,Pro-Palestine
1069,UK,The Guardian,Pro Israel,Sanders hits back at Netanyahu: It is not antisemitic to hold you accountable,,Pro-Palestine
1070,UK,The Guardian,Pro Israel,Leeds Green party councillor says sorry for comments about Gaza conflict,,Pro-Palestine
1071,UK,The Guardian,Pro Israel,"How can I, as a leftwing Jew, show support for both Palestinians and Israelis?",,Neutral
1072,UK,The Guardian,Pro Israel,As a Syrian I feel the pain of Palestinians as their homes and lives are destroyed. This is domicide,,Pro-Palestine
1073,UK,The Guardian,Pro Israel,Israel says its ground forces are operating across all of Gaza,,Pro-Israel
1074,UK,The Guardian,Pro Israel,Footage shows moments after airstrike hit civilian convoy fleeing northern Gaza  video,,Pro-Palestine
1075,UK,The Guardian,Pro Israel,"Gaza diary part 34: I just wish to go back to spending a day in bed, reading",,Pro-Palestine
1076,UK,The Guardian,Pro Israel,australian-palestinians-supporting-refugees-israel-gaza-war-visa-australia,,Pro-Palestine
1077,UK,The Guardian,Pro Israel,"Gaza diary part 24: The situation is very bad, people are panicking. They want to survive",,Pro-Palestine
1078,UK,The Guardian,Pro Israel,Blinken returns to Middle East and warns of risk war could spread,,Neutral
1079,UK,The Guardian,Pro Israel,US troops attacked in Iraq and Syria as west warns of spillover from Israel conflict,,Neutral
1080,UK,The Guardian,Pro Israel,Israel accuses South Africa of profound distortion at ICJ genocide hearing,,Pro-Palestine
1081,UK,The Guardian,Pro Israel,Biden says Schumer made good speech in breaking with Benjamin Netanyahu,,Pro-Israel
1082,UK,The Guardian,Pro Israel,"Food aid to Gaza three times more likely to be blocked by Israel than other aid, says UN  as it happened",,Pro-Palestine
1083,UK,The Guardian,Pro Israel,Protesters block Londons Oxford Street in pro-Palestine demonstration,,Pro-Palestine
1084,UK,The Guardian,Pro Israel,"Adults can see the horror in Gaza, but how best to talk to children about it?",,Pro-Israel
1085,UK,The Guardian,Pro Israel,Those who attack Jews in the UK are not striking a blow for Palestine: they are behaving as antisemites always have,,Pro-Palestine
1086,UK,The Guardian,Pro Israel,Red Sea crisis: UN security council demands immediate end to Houthi attacks,,Neutral
1087,UK,The Guardian,Pro Israel,Irans missiles were shot down  but they still delivered what Tehran was hoping for,,Neutral
1088,UK,The Guardian,Pro Israel,WHO says almost impossible to bring aid into Gaza as it happened,,Pro-Palestine
1089,UK,The Guardian,Pro Israel,"Benjamin Netanyahus denial of Palestinian statehood undermines prospects for peace, Labor MP says",,Pro-Palestine
1090,UK,The Guardian,Pro Israel,We are about to witness in Gaza the most intense famine since the second world war,,Pro-Palestine
1091,UK,The Guardian,Pro Israel,South American countries recall ambassadors and cut ties with Israel over war with Hamas,,Neutral
1092,UK,The Guardian,Pro Israel,Fifteen Israeli soldiers killed as fighting intensifies in Gaza,,Pro-Israel
1093,UK,The Guardian,Pro Israel,We cannot forget: families hold vigils for Israeli hostages held in Gaza,,Pro-Palestine
1094,UK,The Guardian,Pro Israel,Widespread condemnation across globe for Hamas attack on Israel,,Pro-Israel
1095,UK,The Guardian,Pro Israel,Absolute chaos: first Briton to cross from Gaza to Egypt describes ordeal,,Pro-Palestine
1096,UK,The Guardian,Pro Israel,MP Layla Morans family trapped inside Catholic church in Gaza City,,Pro-Palestine
1097,UK,The Guardian,Pro Israel,"Medical services at Gazas largest functioning health facility collapse amid intense fighting in Khan Younis, warns MSF  as it happened",,Pro-Palestine
1098,UK,The Guardian,Pro Israel,Theyre only babies: Israeli relatives of hostages plead for help,,Pro-Palestine
1099,UK,The Guardian,Pro Israel,"More than 900 dead in Gaza since Saturday as shelling hits school, hospitals and homes",,Pro-Palestine
1100,UK,The Guardian,Pro Israel,A political stalemate led to the bloodshed in the Middle East. Only a political settlement can truly end it,,Pro-Palestine
1101,UK,The Guardian,Pro Israel,Australia signals desire to resume UNRWA funding to ensure fewer children are starving in Gaza,,Pro-Palestine
1102,UK,The Guardian,Pro Israel,Ireland and Spain reiterate plan to form alliance to recognise state of Palestine,,Pro-Palestine
1103,UK,The Guardian,Pro Israel,Israel on high alert as it weighs response to Iranian attack,,Pro-Israel
1104,UK,The Guardian,Pro Israel,We give them hope and happiness for a while: breakdancers perform for children in war-torn Gaza,,Pro-Palestine
1105,UK,The Guardian,Pro Israel,Pro-Palestine protesters disrupt Canadian book prize,,Pro-Palestine
1106,UK,The Guardian,Pro Israel,Large crowd gathers at pro-Palestine rally in Melbourne as WA man mourns sister killed in Gaza,,Pro-Palestine
1107,UK,The Guardian,Pro Israel,"French politicians join 100,000 at Paris march against antisemitism",,Neutral
1108,UK,The Guardian,Pro Israel,Instagram users accuse platform of censoring posts supporting Palestine,,Pro-Palestine
1109,UK,The Guardian,Pro Israel,Houthi attacks continue as US cargo ship hit in defiance of strikes on Yemen,,Neutral
1110,UK,The Guardian,Pro Israel,Michael Gove mobbed by pro-Palestinian protesters in Victoria station,,Pro-Palestine
1111,UK,The Guardian,Pro Israel,Israeli delegation to visit Washington to discuss planned offensive on Rafah,,Pro-Israel
1112,UK,The Guardian,Pro Israel,People are fearful of whats to come: Gaza civilians flee waves of Israeli strikes,,Pro-Palestine
1113,UK,The Guardian,Pro Israel,London gallery delays Ai Weiwei show over Israel-Hamas tweet,,Neutral
1114,UK,The Guardian,Pro Israel,UCLA students describe violent attack on Gaza protest encampment: It was terrifying,,Pro-Palestine
1115,UK,The Guardian,Pro Israel,Charlotte Churchs Big Sing was not antisemitic,,Neutral
1116,UK,The Guardian,Pro Israel,Everyone is leaving: bombardments drive tens of thousands from southern Lebanon,,Neutral
1117,UK,The Guardian,Pro Israel,Xi says China willing to cooperate with US as hopes rise for talks with Biden,,Neutral
1118,UK,The Guardian,Pro Israel,Children on both sides are the silent victims of this war  why doesnt international law protect them?,,Pro-Palestine
1119,UK,The Guardian,Pro Israel,"Gaza conditions go from catastrophic to near collapse, says Unicef  as it happened",,Pro-Palestine
1120,UK,The Guardian,Pro Israel,Twin babies among 14 killed in Israeli airstrike on house in Rafah,,Pro-Palestine
1121,UK,The Guardian,Pro Israel,Israeli army says it has uncovered biggest Hamas tunnel yet,,Pro-Palestine
1122,UK,The Guardian,Pro Israel,MPs and peers sign letter urging UK government to ban arms sales to Israel,,Neutral
1123,UK,The Guardian,Pro Israel,"If Keir Starmer isnt careful, Gaza could do for him what the Iraq war did for Blair",,Neutral
1124,UK,The Guardian,Pro Israel,"US will stop supplying some weapons to Israel if it invades Rafah, Biden warns",,Pro-Israel
1125,UK,The Guardian,Pro Israel,Onions sell for 50 times usual price in Gaza as Palestinians scramble for food,,Pro-Palestine
1126,UK,The Guardian,Pro Israel,Thursday briefing: The Labour councillors quitting over Keir Starmers Israel-Hamas ceasefire stance,,Neutral
1127,UK,The Guardian,Pro Israel,Wars toll on education in Gaza casts shadow over childrens future,,Pro-Palestine
1128,UK,The Guardian,Pro Israel,Ron DeSantiss claim he sent military equipment to Israel unravels,,Pro-Israel
1129,UK,The Guardian,Pro Israel,Anthony Albanese says protest at Melbourne hotel of Israeli hostages relatives is beyond contempt,,Pro-Palestine
1130,UK,The Guardian,Pro Israel,"Médecins Sans Fronti√®res says strike on Gaza shelter killed staffers daughter, 5  as it happened",,Pro-Palestine
1131,UK,The Guardian,Pro Israel,Rafahs 1 million refugees fear Israeli onslaught after night of bombardment,,Neutral
1132,UK,The Guardian,Pro Israel,Turkey stops all trade with Israel over humanitarian tragedy in Gaza,,Pro-Palestine
1133,UK,The Guardian,Pro Israel,A two-state solution is the only way that the Israel-Palestine conflict can be solved,,Pro-Palestine
1134,UK,The Guardian,Pro Israel,"Blood is on your hands, Biden: US rapper Macklemore gives support to Palestine and campus protests",,Neutral
1135,UK,The Guardian,Pro Israel,Israel-Hamas war: what we know on day 40,,Neutral
1136,UK,The Guardian,Pro Israel,Jared Kushner says Gazas waterfront property could be very valuable,,Pro-Israel
1137,UK,The Guardian,Pro Israel,US says hold on weapons delivery wont be a one-off if Israel presses ahead with Rafah city offensive  as it happened,,Pro-Israel
1138,UK,The Guardian,Pro Israel,US says it shot down four drones in southern Red Sea launched from Houthi-controlled areas in Yemen,,Neutral
1139,UK,The Guardian,Pro Israel,Food charity demands independent inquiry into Israeli killing of aid staff,,Pro-Palestine
1140,UK,The Guardian,Pro Israel,The thousands calling for a ceasefire and peace deserve better than abuse and belittlement,,Pro-Palestine
1141,UK,The Guardian,Pro Israel,ABC strongly denies outside influence in removal of Antoinette Lattouf,,Neutral
1142,UK,The Guardian,Pro Israel,Hamas may have taken more than 100 Israeli hostages into Gaza,,Pro-Israel
1143,UK,The Guardian,Pro Israel,Netanyahu says war isnt close to finished  as it happened,,Pro-Israel
1144,UK,The Guardian,Pro Israel,Rishi Sunak holds productive talks with Saudi Arabia after Israel visit,,Pro-Israel
1145,UK,The Guardian,Pro Israel,Netanyahu faces hostages dilemma as Israeli political debate heats up,,Pro-Israel
1146,UK,The Guardian,Pro Israel,Middle East crisis: Irans state media says vessel linked to Israel seized by Revolutionary Guards  as it happened,,Pro-Palestine
1147,UK,The Guardian,Pro Israel,Cries of defiance are all Palestinians and their supporters have left to keep hope alive,,Pro-Palestine
1148,UK,The Guardian,Pro Israel,"From my hometown in Gaza, the unthinkable news: 36 of my family members are dead",,Pro-Palestine
1149,UK,The Guardian,Pro Israel,Mob storms Dagestan airport in search of Jewish passengers from Israel,,Neutral
1150,UK,The Guardian,Pro Israel,I run the UN agency for Palestine refugees. History will judge us all if there is no ceasefire in Gaza,,Pro-Palestine
1151,UK,The Guardian,Pro Israel,"With immigration tied to Ukraine, Biden will upset one set of Democrats in 2024",,Neutral
1152,UK,The Guardian,Pro Israel,Middle East crisis: EU launches maritime security operation as cargo ship damaged in Red Sea after missiles fired from Yemen  as it happened,,Neutral
1153,UK,The Guardian,Pro Israel,Netanyahu approves Rafah attack plans as aid ship reaches Gaza,,Pro-Palestine
1154,UK,The Guardian,Pro Israel,We cannot lose our humanity: Madonna addresses Israel-Hamas war on stage in London,,Neutral
1155,UK,The Guardian,Pro Israel,Israel and Hamas at war: what we know on day 30,,Neutral
1156,UK,The Guardian,Pro Israel,Rishi Sunak refuses to criticise Tory MP who said struggling children in his town were products of crap parents  UK politics as it happened,,Neutral
1157,UK,The Guardian,Pro Israel,Japanese Americans draw on heritage and history to support Palestine,,Neutral
1158,UK,The Guardian,Pro Israel,Israeli forces attack Hamas targets in Gaza City as ground war intensifies,,Pro-Israel
1159,UK,The Guardian,Pro Israel,Rishi Sunak is fuelled by Fomo  so he postures in the Middle East like a latter-day Tony Blair,,Neutral
1160,UK,The Guardian,Pro Israel,Israelis voice sadness and defiance over Gaza protests on US campuses,,Neutral
1161,UK,The Guardian,Pro Israel,Is there a plan? Families of Israeli hostages demand answers from Netanyahu,,Pro-Israel
1162,UK,The Guardian,Pro Israel,They dont represent us: Rochdale voters on why they deserted major parties,,Pro-Palestine
1163,UK,The Guardian,Pro Israel,"Rishi Sunak, decorated hero of the war on motorists, is no match for a real-world conflict",,Neutral
1164,UK,The Guardian,Pro Israel,More than 800 faculty and staff at UCLA call for chancellors resignation,,Pro-Palestine
1165,UK,The Guardian,Pro Israel,Israel-Gaza war: UN passed resolution for security council to reconsider and support Palestine membership  as it happened,,Pro-Palestine
1166,UK,The Guardian,Pro Israel,Hundreds of thousands expected at weekend protests in London after Yemen strikes,,Pro-Palestine
1167,UK,The Guardian,Pro Israel,Israeli assault on Gaza city of Rafah: what we know so far,,Neutral
1168,UK,The Guardian,Pro Israel,"From the archive, 1988: Hamas founder Sheikh Yassin interviewed",,Neutral
1169,UK,The Guardian,Pro Israel,"Aukus will get done despite jitters in Congress, Biden tells Albanese at White House meeting",,Pro-Israel
1170,UK,The Guardian,Pro Israel,Middle East crisis: Blinken calls for calm as Iran official says no plan for immediate retaliation to reported Israeli missile strike  as it happened,,Neutral
1171,UK,The Guardian,Pro Israel,Australia urges Israel to provide evidence for allegations UNRWA staff were involved in 7 October attacks,,Pro-Palestine
1172,UK,The Guardian,Pro Israel,"Israel-Gaza war: Gaza health system could collapse within hours, authorities say; 20 killed in attacks on Jabaliya camp  as it happened",,Pro-Palestine
1173,UK,The Guardian,Pro Israel,Activist Ahed Tamimi among 50 jailed Palestinians listed for release by Israel,,Pro-Israel
1174,UK,The Guardian,Pro Israel,"An atmosphere of fear: free speech under threat in Israel, activists say",,Pro-Palestine
1175,UK,The Guardian,Pro Israel,Evidence points to systematic use of rape and sexual violence by Hamas in 7 October attacks,,Neutral
1176,UK,The Guardian,Pro Israel,The people dont want the Americans: Gaza war fuels tensions in Iraq,,Pro-Palestine
1177,UK,The Guardian,Pro Israel,There are no wreaths left: Israel begins burial of victims of Hamas attacks,,Neutral
1178,UK,The Guardian,Pro Israel,Israeli strikes on Lebanon kill eight including journalists and Hamas official,,Pro-Palestine
1179,UK,The Guardian,Pro Israel,US airman who burned himself to death at Israeli embassy had anarchist past,,Pro-Palestine
1180,UK,The Guardian,Pro Israel,Food aid failing to reach Gaza residents despite catastrophic hunger crisis,,Pro-Palestine
1181,UK,The Guardian,Pro Israel,Thai foreign minister greets hostages freed by Hamas in emotional meeting,,Neutral
1182,UK,The Guardian,Pro Israel,Nick Robinson says he should have been clearer after Gaza interview row,,Pro-Palestine
1183,UK,The Guardian,Pro Israel,IDF messaging suggests Gaza truce unlikely to last much beyond Tuesday,,Pro-Israel
1184,UK,The Guardian,Pro Israel,The Israel-Hamas war again shows that we need to stop thinking there are military solutions to political problems,,Pro-Israel
1185,UK,The Guardian,Pro Israel,Sunak accused of silly posturing by ex-Tory minister after climbdown over pro-Palestine rally,,Pro-Palestine
1186,UK,The Guardian,Pro Israel,Israel says it will open new aid crossing into Gaza Strip,,Pro-Palestine
1187,UK,The Guardian,Pro Israel,Students across Europe hold Gaza war protests in run-up to UN vote on Palestinian statehood,,Pro-Palestine
1188,UK,The Guardian,Pro Israel,Ben Jennings on the ceasefire in Gaza  cartoon,,Pro-Palestine
1189,UK,The Guardian,Pro Israel,The wests complete contempt for the lives of Palestinians will not be forgotten,,Pro-Palestine
1190,UK,The Guardian,Pro Israel,We cant ignore these people: huge surge in numbers fleeing Gaza City,,Pro-Palestine
1191,UK,The Guardian,Pro Israel,UN official who denounced Gaza genocide had been under review after Israel lobby complaint,,Pro-Palestine
1192,UK,The Guardian,Pro Israel,"Al Jazeera cameraman killed in Israeli strike on Gaza school, broadcaster says",,Pro-Palestine
1193,UK,The Guardian,Pro Israel,Distressing images and videos can take a toll on our mental health. How can we stay informed without being traumatised?,,Pro-Palestine
1194,UK,The Guardian,Pro Israel,"If Jesus was born today, hed be born under the rubble: Bethlehem set for forlorn Christmas",,Neutral
1195,UK,The Guardian,Pro Israel,The adultification of children has consequences from Palestine to the US,,Pro-Palestine
1196,UK,The Guardian,Pro Israel,Why is the US still sending an endless supply of arms to Israel without conditions?,,Neutral
1197,UK,The Guardian,Pro Israel,"Palestinian Authority should play key role in a future Gaza, says Antony Blinken",,Neutral
1198,UK,The Guardian,Pro Israel,Israel accused of targeting aid convoy car by car as pressure grows over Gaza tactics,,Neutral
1199,UK,The Guardian,Pro Israel,"Middle East crisis live: Extraordinary chance for Israel to be integrated into Middle East, says Blinken as it happened",,Neutral
1200,UK,The Guardian,Pro Israel,Justin Welby accused of relegating plight of Palestinian Christians,,Pro-Palestine
1201,UK,The Guardian,Pro Israel,Governments scramble to evacuate citizens from Israel amid pleas for help,,Pro-Palestine
1202,UK,The Guardian,Pro Israel,Questions in rocket-hit Sderot over whether IDF can ever destroy Hamas,,Pro-Israel
1203,UK,The Guardian,Pro Israel,The Guardian view on the catastrophe in Gaza: it must not be overshadowed by the Iran crisis,,Pro-Palestine
1204,UK,The Guardian,Pro Israel,Ceasefire now: Australian Jewish group holds vigils for peace in Sydney and Melbourne,,Neutral
1205,UK,The Guardian,Pro Israel,Ghent students occupy university building in climate and Gaza protest,,Pro-Palestine
1206,UK,The Guardian,Pro Israel,I lost hope with the Home Office: Palestinians fundraise to evacuate family in Gaza,,Pro-Palestine
1207,UK,The Guardian,Pro Israel,Leeds University looks into postponed football match between Jewish and Arab societies,,Neutral
1208,UK,The Guardian,Pro Israel,Palestine coach Makram Daboub: The players are doing their best but it is not easy,,Pro-Palestine
1209,UK,The Guardian,Pro Israel,The polarised discourse on the Middle East is hurting us. We must find ways to listen across the divide,,Neutral
1210,UK,The Guardian,Pro Israel,Labour will work for a Palestinian state,,Pro-Palestine
1211,UK,The Guardian,Pro Israel,My heart is chanting: Palestinian voices ring out at largest anti-war rallies in Australia since Iraq war,,Pro-Palestine
1212,UK,The Guardian,Pro Israel,Im feeling paralysed: they arrested my friends for protesting on campus,,Pro-Palestine
1213,UK,The Guardian,Pro Israel,There is no moral argument that justifies the sale of weapons to Israel,,Pro-Israel
1214,UK,The Guardian,Pro Israel,Israel-Gaza war: UK and Germany call for sustainable ceasefire,,Pro-Palestine
1215,UK,The Guardian,Pro Israel,I was helpless: Nepali survivors of Hamas attack in Israel haunted by trauma,,Pro-Israel
1216,UK,The Guardian,Pro Israel,Columbia University calls for inquiry into leadership as student protests sweep 40 campuses,,Pro-Palestine
1217,UK,The Guardian,Pro Israel,University of North Carolina to divert $2.3m DEI budget to safety and policing,,Pro-Palestine
1218,UK,The Guardian,Pro Israel,"Labours Gaza amendment is chance to speak with one voice, says Nandy",,Neutral
