Country,News Publisher,Country Stance,Headline,Date,Headline Stance,Explanation,,,,
UK,The Guardian,Pro Israel,"Israels attempt to destroy Hamas will breed more radicalisation, UN expert says",Tue 7 Nov 2023 12.07 CET,,,,,,
UK,The Guardian,Pro Israel,Hamas negotiators under pressure to produce list of hostages to be released,Mon 4 Mar 2024 23.16 CET,,,,,,
UK,The Guardian,Pro Israel,Oscars kicks off behind schedule as pro-Palestine protesters delay stars arrivals,Mon 11 Mar 2024 01.12 CET,,,,,,
UK,The Guardian,Pro Israel,Academics challenge Starmer to accept Israels siege of Gaza is against international law  UK politics live,Tue 17 Oct 2023 18.08 CEST,,,,,,
UK,The Guardian,Pro Israel,"Famine in Gaza is being made inevitable, says UN rapporteur",Sun 28 Jan 2024 17.59 CET,,,,,,
UK,The Guardian,Pro Israel,It connects people: Palestinian chefs are using food to share their stories,Tue 12 Dec 2023 15.00 CET,,,,,,
UK,The Guardian,Pro Israel,Middle East crisis: World Health Organization accuses Israel of impeding aid delivery in Gaza  as it happened,Wed 14 Feb 2024 16.16 CET,,,,,,
UK,The Guardian,Pro Israel,"Most Jews and Palestinians want peace. Extremists, narcissists ​and other allies only block the way",Fri 26 Apr 2024 19.15 CEST,,,,,,
UK,The Guardian,Pro Israel,Huge pro-Palestinian London march calls for permanent ceasefire,Sat 25 Nov 2023 17.42 CET,,,,,,
UK,The Guardian,Pro Israel,"Palestinian poet Mosab Abu Toha detained by Israelis in Gaza, family says",Mon 20 Nov 2023 23.29 CET,,,,,,
UK,The Guardian,Pro Israel,Netanyahu vows to press ahead with Rafah offensive as ceasefire talks continue,Wed 14 Feb 2024 23.24 CET,,,,,,
UK,The Guardian,Pro Israel,It lifted my grieving heart to join crowds in London on the March for Palestine. We need more of them,Tue 17 Oct 2023 14.22 CEST,,,,,,
UK,The Guardian,Pro Israel,Stakes are high as SNP and Labour wrestle over Gaza ceasefire call,Wed 21 Feb 2024 15.14 CET,,,,,,
UK,The Guardian,Pro Israel,"Iran attack shows Israeli deterrence policy shattered, Netanyahu critics say",Mon 15 Apr 2024 17.08 CEST,,,,,,
UK,The Guardian,Pro Israel,Israel and Hamas at war: what we know on day 29,Sat 4 Nov 2023 04.21 CET,,,,,,
UK,The Guardian,Pro Israel,"In defying Joe Biden, Benjamin Netanyahu is exposing the limits of US power",Fri 22 Mar 2024 18.41 CET,,,,,,
UK,The Guardian,Pro Israel,Is the US about to blindly march into yet another catastrophic war?,Mon 23 Oct 2023 17.09 CEST,,,,,,
UK,The Guardian,Pro Israel,Unions tell Starmer of members anger over Gaza ceasefire position,Thu 18 Jan 2024 20.30 CET,,,,,,
UK,The Guardian,Pro Israel,Ella Baron on the policing of the protest march on Armistice Day  cartoon,Fri 10 Nov 2023 17.48 CET,,,,,,
UK,The Guardian,Pro Israel,Antoinette Lattouf files unlawful termination claim over losing ABC radio role after Israel-Gaza social media posts,Fri 22 Dec 2023 08.20 CET,,,,,,
UK,The Guardian,Pro Israel,Israel-Gaza war: what is the two-state solution and is it possible?,Mon 22 Jan 2024 15.59 CET,,,,,,
UK,The Guardian,Pro Israel,Penny Wong warns Australians in Israel who want to leave to take first available flight,Sat 14 Oct 2023 05.10 CEST,,,,,,
UK,The Guardian,Pro Israel,free-speech-is-a-facade-how-gaza-war-has-deepened-divisions-in-german-arts-world,Mon 25 Mar 2024 08.00 CET,,,,,,
UK,The Guardian,Pro Israel,Two Israeli hostages released as efforts intensify to free people held by Hamas,Mon 23 Oct 2023 21.59 CEST,,,,,,
UK,The Guardian,Pro Israel,"Israel is in a fight to the finish. Whatever comes next, it must change",Sat 28 Oct 2023 17.31 CEST,,,,,,
UK,The Guardian,Pro Israel,Overjoyed: nine-year-old hostage Emily Hand returns to family in Israel,Sun 26 Nov 2023 20.54 CET,,,,,,
UK,The Guardian,Pro Israel,Israel releases 39 Palestinian prisoners as Hamas frees 17 hostages in latest stage of ceasefire deal,Sun 26 Nov 2023 04.37 CET,,,,,,
UK,The Guardian,Pro Israel,Scott Morrison accuses UN of antisemitism and applying double standards against Israel,Mon 19 Feb 2024 01.08 CET,,,,,,
UK,The Guardian,Pro Israel,Gaza war surgeon feels criminalised after being denied entry to France,Sun 5 May 2024 17.55 CEST,,,,,,
UK,The Guardian,Pro Israel,"The Gaza crisis has brought Israel closer to the west, but further away from the rest of the world",Fri 17 Nov 2023 12.02 CET,,,,,,
UK,The Guardian,Pro Israel,Israel kills Hamas militants in Jenin raid as violence surges in West Bank,Fri 17 Nov 2023 13.59 CET,,,,,,
UK,The Guardian,Pro Israel,Middle East crisis: European Commission hopeful first boat from Cyprus carrying aid to Gaza will set sail soon  as it happened,Mon 11 Mar 2024 16.07 CET,,,,,,
UK,The Guardian,Pro Israel,Israel orders central Rafah residents to evacuate as major offensive looms,Sat 11 May 2024 17.28 CEST,,,,,,
UK,The Guardian,Pro Israel,US museum criticized for postponing Islamic art exhibit due to Israel-Hamas war,Fri 3 Nov 2023 17.22 CET,,,,,,
UK,The Guardian,Pro Israel,"Monday briefing: From Hezbollah to the Houthis, these are the risks of a wider Middle East war",Mon 15 Jan 2024 07.47 CET,,,,,,
UK,The Guardian,Pro Israel,Hamas and Israel at war: what we know on day 3,Mon 9 Oct 2023 18.04 CEST,,,,,,
UK,The Guardian,Pro Israel,How Houthi anger with Israel is reshaping the Middle East conflict,Sat 13 Jan 2024 19.10 CET,,,,,,
UK,The Guardian,Pro Israel,Israel denies its forces are storming al-Amal hospital in Gaza  as it happened,Wed 31 Jan 2024 00.45 CET,,,,,,
UK,The Guardian,Pro Israel,Antisemites supporting Israel is weird. Jewish support of them is even weirder,Mon 27 Nov 2023 12.00 CET,,,,,,
UK,The Guardian,Pro Israel,UNs Palestinian aid agency at breaking point after $450m budget shortfall,Sun 25 Feb 2024 11.00 CET,,,,,,
UK,The Guardian,Pro Israel,"Israeli missiles hit sites near Damascus, says Syria  as it happened",Mon 18 Dec 2023 03.58 CET,,,,,,
UK,The Guardian,Pro Israel,Columbia University is colluding with the far-right in its attack on students,Fri 19 Apr 2024 12.00 CEST,,,,,,
UK,The Guardian,Pro Israel,Israeli diplomats pre-emptively attack findings of Unrwa inquiries,Wed 20 Mar 2024 21.19 CET,,,,,,
UK,The Guardian,Pro Israel,Israeli foreign minister accuses Irish taoiseach of legitimising terror over hostage statement,Sun 26 Nov 2023 21.08 CET,,,,,,
UK,The Guardian,Pro Israel,A family holds onto hope for twin brothers kidnapped by Hamas: Its the only thing we have left,Sun 12 Nov 2023 14.15 CET,,,,,,
UK,The Guardian,Pro Israel,Israel and Hamas have strong reasons not to extend Gaza ceasefire,Fri 24 Nov 2023 17.12 CET,,,,,,
UK,The Guardian,Pro Israel,"SNP welcomes Labour call for immediate humanitarian ceasefire in Gaza, claiming it forced Starmer into U-turn  as it happened",Tue 20 Feb 2024 19.01 CET,,,,,,
UK,The Guardian,Pro Israel,We are overwhelmed: southern Gazas exhausted doctors forced to leave children to die,Fri 24 Nov 2023 06.00 CET,,,,,,
UK,The Guardian,Pro Israel,FA suspends council member over Hitler proud of Netanyahu post,Tue 14 Nov 2023 13.07 CET,,,,,,
UK,The Guardian,Pro Israel,Middle East thrust into apocalyptic humanitarian crisis by war and turmoil,Mon 22 Jan 2024 11.00 CET,,,,,,
UK,The Guardian,Pro Israel,Together we will win: Israelis fearful but defiant in face of uncertainty,Wed 11 Oct 2023 21.31 CEST,,,,,,
UK,The Guardian,Pro Israel,Dozens of pro-Palestinian protesters blocked from disrupting Met Gala,Tue 7 May 2024 03.55 CEST,,,,,,
UK,The Guardian,Pro Israel,US and EU launch twin diplomatic mission to calm tensions in Middle East,Sat 6 Jan 2024 22.46 CET,,,,,,
UK,The Guardian,Pro Israel,US says it conducted strikes against three Houthi missiles  as it happened,Sat 20 Jan 2024 03.43 CET,,,,,,
UK,The Guardian,Pro Israel,Thousands demonstrate in Trafalgar Square for Gaza ceasefire,Sat 4 Nov 2023 23.08 CET,,,,,,
UK,The Guardian,Pro Israel,Monday briefing: The calculations and confusion that could lead Iran and Israel into all-out war,Mon 15 Apr 2024 07.47 CEST,,,,,,
UK,The Guardian,Pro Israel,Its not just Israel on trial: Bosnian war survivors support for genocide case,Thu 18 Jan 2024 08.00 CET,,,,,,
UK,The Guardian,Pro Israel,"Attacks on press freedom around the world are intensifying, index reveals",Fri 3 May 2024 06.00 CEST,,,,,,
UK,The Guardian,Pro Israel,Germany faces domestic lawsuit over its arms sales to Israel,Fri 12 Apr 2024 12.00 CEST,,,,,,
UK,The Guardian,Pro Israel,"Unauthorised Jewish settlements surge in occupied West Bank, says watchdog  as it happened",Sat 6 Jan 2024 01.17 CET,,,,,,
UK,The Guardian,Pro Israel,Scarred for life: the families still seeking dead amid Gaza rubble,Sat 25 Nov 2023 13.29 CET,,,,,,
UK,The Guardian,Pro Israel,Gaza ceasefire to begin on Friday morning with hostage releases to follow,Thu 23 Nov 2023 16.30 CET,,,,,,
UK,The Guardian,Pro Israel,Palestinian journalist leaves Gaza after 108 days chronicling war,Fri 26 Jan 2024 16.28 CET,,,,,,
UK,The Guardian,Pro Israel,Supporters rally around Rashida Tlaib after censure while White House denounces use of slogan,Wed 8 Nov 2023 20.57 CET,,,,,,
UK,The Guardian,Pro Israel,Russia makes 80 arrests after antisemitic rioting at Dagestan airport,Tue 31 Oct 2023 18.39 CET,,,,,,
UK,The Guardian,Pro Israel,"Gaza faces highest ever recorded levels of food insecurity, UN warns",Thu 21 Dec 2023 13.45 CET,,,,,,
UK,The Guardian,Pro Israel,"Gaza protests targeting MPs cross line into intimidation, says Rachel Reeves",Sun 19 Nov 2023 23.32 CET,,,,,,
UK,The Guardian,Pro Israel,Manhattan DA investigating after officer fired gun inside Columbia University - as it happened,Fri 3 May 2024 05.12 CEST,,,,,,
UK,The Guardian,Pro Israel,Israeli forces at gates of Gazas main hospital with hundreds trapped,Mon 13 Nov 2023 21.48 CET,,,,,,
UK,The Guardian,Pro Israel,Pro-Palestinian Instagram account locked by Meta for security reasons,Thu 26 Oct 2023 16.13 CEST,,,,,,
UK,The Guardian,Pro Israel,Middle East crisis: UN humanitarian chief calls Gaza war betrayal of humanity  as it happened,Sat 6 Apr 2024 17.00 CEST,,,,,,
UK,The Guardian,Pro Israel,Burnley council leader quits over Starmers failure to call for Gaza ceasefire,Mon 6 Nov 2023 00.06 CET,,,,,,
UK,The Guardian,Pro Israel,PEN America cancels festival after authors drop out in support of Gaza,Fri 26 Apr 2024 23.50 CEST,,,,,,
UK,The Guardian,Pro Israel,Israel widens ground offensive in Gaza as UN aid resolution talks continue,Fri 22 Dec 2023 16.49 CET,,,,,,
UK,The Guardian,Pro Israel,Sydney Opera House rally: police defend arrest of man carrying Israeli flag amid outrage over antisemitic chants,Tue 10 Oct 2023 05.29 CEST,,,,,,
UK,The Guardian,Pro Israel,Israels attempt to destroy Unrwa is part of its starvation strategy in Gaza,Tue 26 Mar 2024 16.13 CET,,,,,,
UK,The Guardian,Pro Israel,"Gaza children being killed or mutilated in very extreme numbers, Australian doctor says",Thu 21 Dec 2023 07.08 CET,,,,,,
UK,The Guardian,Pro Israel,Netanyahus political survival in hands of far-right ministers,Wed 8 May 2024 18.34 CEST,,,,,,
UK,The Guardian,Pro Israel,I fear the worst: Israeli man waits for news of 10 relatives caught in kibbutz attack,Wed 11 Oct 2023 12.20 CEST,,,,,,
UK,The Guardian,Pro Israel,The humanitarian response to the nightmare in Gaza is failing  heres what must happen,Mon 30 Oct 2023 17.30 CET,,,,,,
UK,The Guardian,Pro Israel,Middle East crisis: Palestinian foreign ministry accuses Israeli government of blind revenge  as it happened,Sun 17 Mar 2024 16.55 CET,,,,,,
UK,The Guardian,Pro Israel,The situation is dire: winter heaps misery on displaced people of Gaza,Fri 12 Jan 2024 18.18 CET,,,,,,
UK,The Guardian,Pro Israel,"US Muslim groups warn over rise in violence after boy, six, killed in Illinois",Tue 17 Oct 2023 15.29 CEST,,,,,,
UK,The Guardian,Pro Israel,Standing up for Palestine is also standing up to save the west from the worst of itself,Tue 17 Oct 2023 12.08 CEST,,,,,,
UK,The Guardian,Pro Israel,"Briton, 20, serving in Israeli army killed in Hamas attack",Sun 8 Oct 2023 16.15 CEST,,,,,,
UK,The Guardian,Pro Israel,China angles for Gaza mediation role to expand influence in Middle East,Tue 7 May 2024 16.54 CEST,,,,,,
UK,The Guardian,Pro Israel,Australia to investigate how Palestinians crossed Gaza border after government suspends visas,Fri 15 Mar 2024 08.24 CET,,,,,,
UK,The Guardian,Pro Israel,Why Israels attack on Iranian consulate in Syria was a gamechanger,Sun 14 Apr 2024 16.07 CEST,,,,,,
UK,The Guardian,Pro Israel,"Netanyahu speaks in Tel Aviv, pledges to abolish this evil  as it happened",Sun 29 Oct 2023 05.10 CET,,,,,,
UK,The Guardian,Pro Israel,Israel-Hamas war: convoy of five trucks hit by fire  as it happened,Wed 8 Nov 2023 05.01 CET,,,,,,
UK,The Guardian,Pro Israel,Claudine Gays ousting reveals that the messenger is still an easier target than the message,Sun 7 Jan 2024 10.30 CET,,,,,,
UK,The Guardian,Pro Israel,Deal allows police to march in parade  as it happened,Wed 28 Feb 2024 08.40 CET,,,,,,
UK,The Guardian,Pro Israel,"Hamas attack deadliest day for Jews since the Holocaust, says Biden, as Israeli jets pound Gaza",Thu 12 Oct 2023 06.19 CEST,,,,,,
UK,The Guardian,Pro Israel,"Gazas 37m tonnes of bomb-filled debris could take 14 years to clear, says expert",Fri 26 Apr 2024 18.56 CEST,,,,,,
UK,The Guardian,Pro Israel,The Palestine team carries hope: football dreams live on amid conflict,Mon 30 Oct 2023 13.00 CET,,,,,,
UK,The Guardian,Pro Israel,"Youth curfew not the long-term solution, MP says  as it happened",Wed 3 Apr 2024 09.06 CEST,,,,,,
UK,The Guardian,Pro Israel,"Russias war in Ukraine remains barrier to growth, says IMF chief",Thu 18 Apr 2024 18.10 CEST,,,,,,
UK,The Guardian,Pro Israel,"From Iran to California, this professor protests for human rights  but at what cost?",Wed 8 May 2024 17.52 CEST,,,,,,
UK,The Guardian,Pro Israel,"Labour will not punish calls for Israel-Hamas ceasefire, shadow minister suggests",Sun 29 Oct 2023 13.48 CET,,,,,,
UK,The Guardian,Pro Israel,The most popular Palestinian leader alive: Releasing Marwan Barghouti could transform territories politics,Sat 17 Feb 2024 16.25 CET,,,,,,
UK,The Guardian,Pro Israel,"IDF instructions on Gaza refuge zones cruel mirage, say aid agencies",Thu 7 Dec 2023 19.34 CET,,,,,,
UK,The Guardian,Pro Israel,Ireland backs bid to include blocking of aid in definition of genocide,Wed 27 Mar 2024 23.25 CET,,,,,,
UK,The Guardian,Pro Israel,How the Hamas attack on the Supernova festival in Israel unfolded,Mon 9 Oct 2023 12.30 CEST,,,,,,
UK,The Guardian,Pro Israel,The crisis in Gaza is a diplomatic test for Australia. We must do better as a country,Thu 14 Mar 2024 02.06 CET,,,,,,
UK,The Guardian,Pro Israel,UK teachers defy minister to back pro-Palestine motion,Thu 4 Apr 2024 20.43 CEST,,,,,,
UK,The Guardian,Pro Israel,Rishi Sunak urges MPs not to rush to judgment over Gaza hospital blast,Wed 18 Oct 2023 18.48 CEST,,,,,,
UK,The Guardian,Pro Israel,"Sixty-one trucks deliver aid to northern Gaza, says UN  as it happened",Sun 26 Nov 2023 06.24 CET,,,,,,
UK,The Guardian,Pro Israel,Israel braces for interim ICJ ruling on allegation of genocide in Gaza,Thu 25 Jan 2024 18.57 CET,,,,,,
UK,The Guardian,Pro Israel,"Stabbing of Palestinian American in Texas a hate crime, police say",Thu 8 Feb 2024 18.48 CET,,,,,,
UK,The Guardian,Pro Israel,four-weeks-on-horror-lingers-in-israels-silent-kibbutzim,Sat 4 Nov 2023 09.00 CET,,,,,,
UK,The Guardian,Pro Israel,We escaped from danger into death: desperation inside Gazas hospitals as casualties mount,Thu 12 Oct 2023 04.15 CEST,,,,,,
UK,The Guardian,Pro Israel,US military says it seized Iranian weapons bound for Houthis,Tue 16 Jan 2024 17.56 CET,,,,,,
UK,The Guardian,Pro Israel,Who are the hostages taken by Hamas from southern Israel?,Wed 18 Oct 2023 18.00 CEST,,,,,,
UK,The Guardian,Pro Israel,Parents-in-law of Humza Yousaf back in Scotland after fleeing Gaza,Sun 5 Nov 2023 18.29 CET,,,,,,
UK,The Guardian,Pro Israel,Four arrested and pepper spray used as pro-Palestine protest blocks road to Melbourne Cup course,Tue 7 Nov 2023 06.41 CET,,,,,,
UK,The Guardian,Pro Israel,Israel targets Hamas tunnels amid hopes more aid will reach civilians in Gaza,Tue 31 Oct 2023 11.42 CET,,,,,,
UK,The Guardian,Pro Israel,"Middle East crisis: Medical teams at two hospitals in Gaza pinned down by heavy gunfire, Palestinian Red Crescent says  as it happened",Sun 24 Mar 2024 17.00 CET,,,,,,
UK,The Guardian,Pro Israel,Black church leaders on the fence on Biden endorsement amid Israel-Gaza war,Sat 16 Dec 2023 15.00 CET,,,,,,
UK,The Guardian,Pro Israel,Jewish students sue Harvard over charges of antisemitism,Fri 12 Jan 2024 14.54 CET,,,,,,
UK,The Guardian,Pro Israel,Fears grow of all-out Israel-Hezbollah war as fighting escalates,Sun 17 Dec 2023 16.55 CET,,,,,,
UK,The Guardian,Pro Israel,Middle East crisis: Jordan says some Israeli settlers attacked aid convoys on way to Gaza  as it happened,Wed 1 May 2024 16.00 CEST,,,,,,
UK,The Guardian,Pro Israel,Nobody knows where they are: British man tells of helpless wait for news of Israeli aunt and uncle,Tue 17 Oct 2023 15.13 CEST,,,,,,
UK,The Guardian,Pro Israel,I want to tell the world: the reporter determined to share Gazas stories,Sat 21 Oct 2023 08.00 CEST,,,,,,
UK,The Guardian,Pro Israel,Lib Dem MP Layla Moran fears for relatives in Gaza Strip,Tue 17 Oct 2023 14.56 CEST,,,,,,
UK,The Guardian,Pro Israel,"What does it mean to erase a people  a nation, culture, identity? In Gaza, we are beginning to find out",Mon 18 Dec 2023 07.00 CET,,,,,,
UK,The Guardian,Pro Israel,Israeli intelligence leak details extent of warnings over Hamas attack,Tue 28 Nov 2023 15.11 CET,,,,,,
UK,The Guardian,Pro Israel,The Observer view: the scale of antisemitism blights our politics and our country,Sun 18 Feb 2024 07.00 CET,,,,,,
UK,The Guardian,Pro Israel,Labor facing internal demands to call for full ceasefire in Gaza,Wed 29 Nov 2023 10.32 CET,,,,,,
UK,The Guardian,Pro Israel,Netanyahus Likud party says Israel not a banana republic after Chuck Schumer calls for new elections  as it happened,Thu 14 Mar 2024 21.09 CET,,,,,,
UK,The Guardian,Pro Israel,Sadiq Khan says UK arms sales to Israel have got to stop,Thu 4 Apr 2024 20.56 CEST,,,,,,
UK,The Guardian,Pro Israel,X criticised for enabling spread of Israel-Hamas disinformation,Mon 9 Oct 2023 19.57 CEST,,,,,,
UK,The Guardian,Pro Israel,Jeremy Corbyns call for peace plays into the hands of anti-western dictators,Thu 25 Apr 2024 19.31 CEST,,,,,,
UK,The Guardian,Pro Israel,Counter-terror chiefs on alert for Iranian activity in UK exploiting Gaza war,Mon 30 Oct 2023 20.40 CET,,,,,,
UK,The Guardian,Pro Israel,Pro-Palestine murals in London face council review and removal,Fri 26 Apr 2024 21.52 CEST,,,,,,
UK,The Guardian,Pro Israel,EU aid to Palestinians will not be cancelled as decision reversed,Tue 10 Oct 2023 21.14 CEST,,,,,,
UK,The Guardian,Pro Israel,Hamas releases third group of hostages as US expresses hope of truce extension,Sun 26 Nov 2023 23.24 CET,,,,,,
UK,The Guardian,Pro Israel,Gaza activist tells of beating and abuse in Israeli detention,Sun 21 Jan 2024 14.00 CET,,,,,,
UK,The Guardian,Pro Israel,"Gaza diary part 30: People think being in a ceasefire is a festive thing, they dont realise the agony",Fri 1 Dec 2023 13.06 CET,,,,,,
UK,The Guardian,Pro Israel,Macron says no justification for bombing civilians as he calls for Gaza ceasefire,Fri 10 Nov 2023 23.51 CET,,,,,,
UK,The Guardian,Pro Israel,Rupi Kaur rejects White Houses Diwali invitation over its Israel-Gaza response,Tue 7 Nov 2023 19.00 CET,,,,,,
UK,The Guardian,Pro Israel,"Al-Qaida and IS call on followers to strike Israeli, US and Jewish targets",Sun 22 Oct 2023 16.31 CEST,,,,,,
UK,The Guardian,Pro Israel,Middle East crisis: MSF says medical staff have had to flee Gazas Nasser hospital following Israeli military intervention  as it happened,Thu 15 Feb 2024 16.28 CET,,,,,,
UK,The Guardian,Pro Israel,Starmer urged to discipline Rochdale candidate over Israel-Gaza remarks,Mon 12 Feb 2024 20.04 CET,,,,,,
UK,The Guardian,Pro Israel,Israeli women and girls have suffered horrific sexual violence from Hamas. Where is the outrage?,Thu 11 Jan 2024 11.00 CET,,,,,,
UK,The Guardian,Pro Israel,Aaron Bushnell set himself on fire outside an Israeli embassy. It is our loss he is no longer with us,Wed 28 Feb 2024 20.34 CET,,,,,,
UK,The Guardian,Pro Israel,Israel and Hamas closer to ceasefire deal amid warning over Gaza children,Fri 2 Feb 2024 13.40 CET,,,,,,
UK,The Guardian,Pro Israel,university-protests-gaza-student-pictures,Thu 2 May 2024 10.00 CEST,,,,,,
UK,The Guardian,Pro Israel,Tomorrows Freedom review  does this man know the way to peace in Israel and Palestine?,Thu 25 Apr 2024 10.00 CEST,,,,,,
UK,The Guardian,Pro Israel,Israel-Hamas war: Brazils president accuses Israel of killing innocent people  as it happened,Tue 14 Nov 2023 03.14 CET,,,,,,
UK,The Guardian,Pro Israel,Gaza: moment children are pulled from rubble after home hit by Israeli airstrike  video,Thu 19 Oct 2023 22.56 CEST,,,,,,
UK,The Guardian,Pro Israel,Netanyahu tells US he opposes creation of Palestinian state after Gaza war,Thu 18 Jan 2024 21.40 CET,,,,,,
UK,The Guardian,Pro Israel,South Africas genocide case against Israel is imperfect but persuasive. It may win,Sat 13 Jan 2024 17.35 CET,,,,,,
UK,The Guardian,Pro Israel,Netanyahu determined to carry out Rafah assault despite pleas from Biden,Wed 20 Mar 2024 02.10 CET,,,,,,
UK,The Guardian,Pro Israel,Biden White House condemns Trumps dangerous Israel-Hamas remarks,Thu 12 Oct 2023 18.25 CEST,,,,,,
UK,The Guardian,Pro Israel,Kamala Harris issues sharp rebuke of Israel over humanitarian catastrophe in Gaza,Mon 4 Mar 2024 01.22 CET,,,,,,
UK,The Guardian,Pro Israel,U2 change lyrics to Pride to honour beautiful kids killed at Israeli music festival,Tue 10 Oct 2023 03.35 CEST,,,,,,
UK,The Guardian,Pro Israel,Different perspectives on protest and Palestine,Fri 26 Apr 2024 17.00 CEST,,,,,,
UK,The Guardian,Pro Israel,"Israeli strikes in Rafah kill dozens of Palestinians, say Gaza officials  video",Mon 12 Feb 2024 13.32 CET,,,,,,
UK,The Guardian,Pro Israel,Israels rules of engagement seem looser than ever  if they are followed at all,Wed 3 Apr 2024 19.15 CEST,,,,,,
UK,The Guardian,Pro Israel,Netanyahu declares it is time for war as Israel hails hostage release,Mon 30 Oct 2023 21.04 CET,,,,,,
UK,The Guardian,Pro Israel,Sunak rejects Bravermans claim he does not have proper plan for making Rwanda deportations happen  as it happened,Fri 17 Nov 2023 17.22 CET,,,,,,
UK,The Guardian,Pro Israel,"US should place no limit on civilian casualties Israel inflicts, senator says",Wed 1 Nov 2023 16.07 CET,,,,,,
UK,The Guardian,Pro Israel,Iran warns it will strike again with greater force if Israel or US retaliate,Sun 14 Apr 2024 10.24 CEST,,,,,,
UK,The Guardian,Pro Israel,Former health minister says Michelle Mone wasnt honest with him about her PPE Medpro involvement  as it happened,Mon 18 Dec 2023 18.45 CET,,,,,,
UK,The Guardian,Pro Israel,Israel added to list of worst jailers of journalists for first time,Thu 18 Jan 2024 14.00 CET,,,,,,
UK,The Guardian,Pro Israel,Its unacceptable: as pro-Palestine encampments grow at Australian campuses so do claims of antisemitism,Thu 9 May 2024 17.00 CEST,,,,,,
UK,The Guardian,Pro Israel,Gaza diary part 27: I really hope a ceasefire will be the first step towards the end of this nightmare,Fri 24 Nov 2023 13.10 CET,,,,,,
UK,The Guardian,Pro Israel,Israel defence chief to head to Washington for Gaza talks,Sat 23 Mar 2024 21.37 CET,,,,,,
UK,The Guardian,Pro Israel,"Israel still plans to launch Rafah assault, Netanyahu tells western diplomats",Thu 18 Apr 2024 20.50 CEST,,,,,,
UK,The Guardian,Pro Israel,Smokescreen: officials voice concern over US plans for Gaza aid pier,Wed 24 Apr 2024 19.03 CEST,,,,,,
UK,The Guardian,Pro Israel,This was her heaven: son returns to Israel kibbutz where his mother was abducted,Mon 13 Nov 2023 06.00 CET,,,,,,
UK,The Guardian,Pro Israel,Never again: Tel Aviv billboard campaign backing army divides Israelis,Mon 23 Oct 2023 18.32 CEST,,,,,,
UK,The Guardian,Pro Israel,"At least eight Israeli strikes on Gaza aid groups since October, says report",Tue 14 May 2024 06.00 CEST,,,,,,
UK,The Guardian,Pro Israel,I am not there and I am not here: a Palestinian American poet on bearing witness to atrocity,Sun 28 Jan 2024 15.00 CET,,,,,,
UK,The Guardian,Pro Israel,"Rich nations, the IMF and World Bank are worried about the Israel-Hamas war, but not nearly enough",Sun 15 Oct 2023 12.13 CEST,,,,,,
UK,The Guardian,Pro Israel,The security council vote is a significant moment  but the US says its Gaza policy is unchanged,Mon 25 Mar 2024 20.17 CET,,,,,,
UK,The Guardian,Pro Israel,Albanese government tells UNRWA it must be sure Gaza aid funding will go to those who need it,Wed 28 Feb 2024 05.38 CET,,,,,,
UK,The Guardian,Pro Israel,Pro-Palestine protests against Israel-Hamas war grow around Australia,Wed 15 Nov 2023 00.27 CET,,,,,,
UK,The Guardian,Pro Israel,Gaza crossing still closed despite pressure from UN and US leaders,Fri 20 Oct 2023 20.37 CEST,,,,,,
UK,The Guardian,Pro Israel,We are seeing urgent signs of more mutual mass atrocities to come in Israel and Gaza,Fri 20 Oct 2023 12.15 CEST,,,,,,
UK,The Guardian,Pro Israel,The Guardian view on Israel and allegations of genocide: a case that needs to be heard,Thu 11 Jan 2024 19.46 CET,,,,,,
UK,The Guardian,Pro Israel,EU appears to backpedal on freezing of Palestinian aid payments,Mon 9 Oct 2023 21.37 CEST,,,,,,
UK,The Guardian,Pro Israel,"Apocalyptic conditions in southern Gaza blocking aid, top UN official says",Tue 5 Dec 2023 20.36 CET,,,,,,
UK,The Guardian,Pro Israel,Tories investigating Alan Duncans comments on partys pro-Israel extremists,Thu 4 Apr 2024 20.25 CEST,,,,,,
UK,The Guardian,Pro Israel,We hoped and prayed: four-year-old American girl among hostages released,Sun 26 Nov 2023 22.11 CET,,,,,,
UK,The Guardian,Pro Israel,The war on Gaza has sharpened Egyptian popular grievances  both on Palestine and at home,Wed 29 Nov 2023 12.05 CET,,,,,,
UK,The Guardian,Pro Israel,UK announces repatriation flights from Israel,Thu 12 Oct 2023 15.51 CEST,,,,,,
UK,The Guardian,Pro Israel,"More than 100,000 flee Rafah as Israel steps up strikes, says UN",Thu 9 May 2024 19.15 CEST,,,,,,
UK,The Guardian,Pro Israel,UN court orders Israel to ensure acts of genocide are not committed in Gaza,Fri 26 Jan 2024 16.29 CET,,,,,,
UK,The Guardian,Pro Israel,Gaza ceasefire hopes fade as Netanyahu rejects calls to halt Rafah offensive,Sun 18 Feb 2024 17.01 CET,,,,,,
UK,The Guardian,Pro Israel,Hamas invites Elon Musk to Gaza to see extent of destruction by Israeli strikes,Tue 28 Nov 2023 23.25 CET,,,,,,
UK,The Guardian,Pro Israel,Israel kills seven more Hezbollah fighters on border with Lebanon,Sat 11 Nov 2023 02.59 CET,,,,,,
UK,The Guardian,Pro Israel,"Israel orders new evacuations in southern Gaza, says UN  as it happened",Thu 21 Dec 2023 03.15 CET,,,,,,
UK,The Guardian,Pro Israel,Suella Braverman calls pro-Palestine demos hate marches,Mon 30 Oct 2023 20.35 CET,,,,,,
