,Country,News Publisher,Country Stance,Headline,Date,Headline Stance,parsed_dates
495,South Africa,SABC,Pro Palestine,Israel calls on UN to press Hamas for the release of hostages,"12 March 2024, 11:18 AM",,2024-03-12
496,South Africa,SABC,Pro Palestine,Steenhuisen denies DA support of Israel,"5 March 2024, 9:51 AM",,2024-03-05
497,South Africa,SABC,Pro Palestine,Pro-Palestine protesters picket across country,"25 February 2024, 6:31 PM",,2024-02-25
498,South Africa,SABC,Pro Palestine,Israel intensifies strikes on Gaza's Rafah,"22 February 2024, 6:06 AM",,2024-02-22
499,South Africa,SABC,Pro Palestine,"US, Russia to speak on Israeli occupation at top UN court","21 February 2024, 7:22 AM",,2024-02-21
500,South Africa,SABC,Pro Palestine,ICJ cannot overlook the grim situation in Palestine: Amb Madonsela,"20 February 2024, 7:15 PM",,2024-02-20
501,South Africa,SABC,Pro Palestine,ICJ must declare Israeli's occupation as illegal,"19 February 2024, 3:05 PM",,2024-02-19
502,South Africa,SABC,Pro Palestine,ICJ opens hearings on Israel's occupation of Palestinian territories,"19 February 2024, 9:30 AM",,2024-02-19
503,South Africa,SABC,Pro Palestine,SA's move to take Israel to ICJ commended by SG of Fatah Movement,"17 February 2024, 7:03 PM",,2024-02-17
504,South Africa,SABC,Pro Palestine,Mandela would have approached ICJ over Palestine rights: Mashatile,"16 February 2024, 3:05 PM",,2024-02-16
505,South Africa,SABC,Pro Palestine,Israel not complying with ICJ order in Rafah: Pandor,"14 February 2024, 6:10 PM",,2024-02-14
506,South Africa,SABC,Pro Palestine,Govt concerned about attacks by Israel's Defence Force in Rafah,"13 February 2024, 6:48 PM",,2024-02-13
507,South Africa,SABC,Pro Palestine,Israel's continued bombing of Gaza is concerning: Mashatile,"11 February 2024, 6:51 AM",,2024-02-11
508,South Africa,SABC,Pro Palestine,Spain to send extra $3.8 million in aid to assist Palestine,"5 February 2024, 4:42 PM",,2024-02-05
509,South Africa,SABC,Pro Palestine,Israel's occupation one of root causes of the conflict: Navi Pillay,"2 February 2024, 4:29 PM",,2024-02-02
510,South Africa,SABC,Pro Palestine,Countries must stop funding Israel's military actions: Pandor,"31 January 2024, 6:28 PM",,2024-01-31
511,South Africa,SABC,Pro Palestine,ANC ready for potential sanctions over Palestine stance,"28 January 2024, 2:12 PM",,2024-01-28
512,South Africa,SABC,Pro Palestine,ACDP to challenge Ramaphosa on Palestine comments,"27 January 2024, 10:47 AM",,2024-01-27
513,South Africa,SABC,Pro Palestine,Fight for Palestine will not end with ICJ ruling: Allan Boesak,"27 January 2024, 10:18 AM",,2024-01-27
514,South Africa,SABC,Pro Palestine,DA calls on Israel to abide by ICJ ruling,"27 January 2024, 7:19 AM",,2024-01-27
515,South Africa,SABC,Pro Palestine,ANC elated with ICJ ruling in Israel-SA genocide case,"26 January 2024, 7:52 PM",,2024-01-26
516,South Africa,SABC,Pro Palestine,SA filed grossly unfounded case against Israel: US lawmakers,"25 January 2024, 11:47 AM",,2024-01-25
517,South Africa,SABC,Pro Palestine,ICJ to deliver judgment in SA-Israel case on Friday,"24 January 2024, 7:52 PM",,2024-01-24
518,South Africa,SABC,Pro Palestine,UN Chief urges end to Israel's occupation,"24 January 2024, 10:02 AM",,2024-01-24
519,South Africa,SABC,Pro Palestine,Gift of the Givers commends SA's ICJ case against Israel,"13 January 2024, 7:20 PM",,2024-01-13
520,South Africa,SABC,Pro Palestine,SA taking Israel to ICJ a significant move for a developing country',"13 January 2024, 11:32 AM",,2024-01-13
521,South Africa,SABC,Pro Palestine,SA case against Israel is to stop suffering of Palestinians: Lamola,"11 January 2024, 1:50 PM",,2024-01-11
522,South Africa,SABC,Pro Palestine,Bo-Kaap prayer service in support of SA's legal action against Israel,"10 January 2024, 9:26 PM",,2024-01-10
523,South Africa,SABC,Pro Palestine,SA has strong legal case against Israel: Ramaphosa,"10 January 2024, 6:12 AM",,2024-01-10
524,South Africa,SABC,Pro Palestine,"SA's case to stop genocide by Israel is robust, principled: Lamola","7 January 2024, 2:01 PM",,2024-01-07
525,South Africa,SABC,Pro Palestine,Palestine solidarity vigils in Cape Town set to continue indefinitely,"3 January 2024, 9:12 PM",,2024-01-03
526,South Africa,SABC,Pro Palestine,"Israeli tanks, missiles strike Gaza in offensive against Hamas","29 December 2023, 7:58 AM",,2023-12-29
527,South Africa,SABC,Pro Palestine,Palestine brace for Rafah assault as Israel promises evacuation plan,"10 February 2024, 4:33 PM",,2024-02-10
528,South Africa,SABC,Pro Palestine,US Senate Democrats back two-state solution for Israel-Palestine,"25 January 2024, 10:05 AM",,2024-01-25
529,South Africa,SABC,Pro Palestine,"EC lawyers intend to take US to court for Israel, Palestine conflict","13 January 2024, 3:27 PM",,2024-01-13
530,South Africa,SABC,Pro Palestine,Israeli ambassador's departure welcomed: Africa4Palestine,"21 November 2023, 12:40 PM",,2023-11-21
531,South Africa,SABC,Pro Palestine,Difficult to lump Russia-Ukraine and Palestine-Israel in same pot',"29 October 2023, 3:33 PM",,2023-10-29
532,South Africa,SABC,Pro Palestine,EFF to stage protest at Israeli Embassy in solidarity with Palestine,"22 October 2023, 5:35 PM",,2023-10-22
533,South Africa,SABC,Pro Palestine,"Ramaphosa calls for cessation of hostilities in Israel, Palestine","21 October 2023, 2:14 PM",,2023-10-21
534,South Africa,SABC,Pro Palestine,ANC to picket in solidarity with Palestine outside Israeli Embassy,"20 October 2023, 9:00 AM",,2023-10-20
535,South Africa,SABC,Pro Palestine,Shame on you: ANC accused of taking sides in Israel-Palestine clash,"15 October 2023, 7:50 PM",,2023-10-15
536,South Africa,SABC,Pro Palestine,"At UN, Palestine call for halt to Israeli offensive","14 October 2023, 8:46 AM",,2023-10-14
537,South Africa,SABC,Pro Palestine,ANC NEC meeting to engage on Israeli-Palestine conflict,"13 October 2023, 9:12 PM",,2023-10-13
538,South Africa,SABC,Pro Palestine,"ANC calls for end to violence in Israel, Palestine","10 October 2023, 12:40 PM",,2023-10-10
539,South Africa,SABC,Pro Palestine,"SA calls for immediate ceasefire, peace in Israel-Palestine conflict","7 October 2023, 9:55 PM",,2023-10-07
540,South Africa,SABC,Pro Palestine,"Calls for warrying parties in Israel, Palestine conflict to respect international law","28 June 2023, 9:43 AM",,2023-06-28
541,South Africa,SABC,Pro Palestine,"Jewish Board says Minister Pandor failed to facilitate mediation between Israel, Palestine","26 July 2022, 6:21 PM",,2022-07-26
542,South Africa,SABC,Pro Palestine,Mogoeng apologises for comments regarding Israel-Palestine conflict,"3 February 2022, 6:33 PM",,2022-02-03
543,South Africa,SABC,Pro Palestine,Africa for Palestine hails SA government's decision to withdraw support for Miss SA at the Miss Universe pageant in Israel,"15 November 2021, 12:30 PM",,2021-11-15
544,South Africa,SABC,Pro Palestine,UNSC called upon to use its leverage to find solution to Israel-Palestine conflict,"19 October 2021, 9:00 PM",,2021-10-19
545,South Africa,SABC,Pro Palestine,"SA Embassy engaged in efforts to assist South Africans in Palestine, Israel","19 May 2021, 4:01 PM",,2021-05-19
546,South Africa,SABC,Pro Palestine,Pro-Palestine demonstrators to march on Israeli Embassy in Pretoria on Wednesday,"19 May 2021, 7:21 AM",,2021-05-19
547,South Africa,SABC,Pro Palestine,"OPINION: For Mandela's sake, progressive world must expel Israeli envoys over apartheid against Palestine","13 May 2021, 11:15 AM",,2021-05-13
548,South Africa,SABC,Pro Palestine,Africa4Palestine disappointed by Mogoeng's 'unwillingness' to engage over Israel comments,"23 March 2021, 11:30 AM",,2021-03-23
549,South Africa,SABC,Pro Palestine,SA firmly believes that Palestine-Israel issue core to bringing peace to Middle East,"21 August 2019, 5:43 AM",Neutral,2019-08-21
550,South Africa,SABC,Pro Palestine,Israel tightens restrictions on Palestine fishing after firebomb threat,"29 May 2019, 11:34 AM",Pro-Israel,2019-05-29
551,South Africa,SABC,Pro Palestine,Pro-Palestine and Pro- Israel protesters side by side outside Parliament,"3 May 2019, 3:44 PM",Neutral,2019-05-03
552,South Africa,SABC,Pro Palestine,"SA calls for consistency in Israel, Palestine conflict","20 February 2019, 9:30 PM",Neutral,2019-02-20
553,South Africa,SABC,Pro Palestine,"Palestine, Israel accuse Security Council of hypocrisy","31 May 2018, 7:02 PM",Neutral,2018-05-31
554,South Africa,SABC,Pro Palestine,"Palestine, Israel accuse Security Council of hypocrisy","31 May 2018, 9:14 AM",Neutral,2018-05-31
555,South Africa,SABC,Pro Palestine,Palestine asks ICC to investigate alleged Israeli human rights abuses,"22 May 2018, 9:01 PM",Pro-Palestine,2018-05-22
556,South Africa,SABC,Pro Palestine,UN Security Council convenes emergency session on Israeli-Palestine violence,"15 May 2018, 5:30 PM",Neutral,2018-05-15
557,South Africa,SABC,Pro Palestine,United Nations condemns Israeli-Palestine deadly violence,"14 May 2018, 9:54 PM",Neutral,2018-05-14
558,South Africa,SABC,Pro Palestine,Spain join South Africa's genocide case against Israel,"6 June 2024, 7:19 PM",Pro-Palestine,2024-06-06
559,South Africa,SABC,Pro Palestine,Israel seizes Gaza's entire border with Egypt,"30 May 2024, 6:28 AM",Pro-Israel,2024-05-30
560,South Africa,SABC,Pro Palestine,Pandor urges UNSC to ensure Israel complies with ICJ ruling,"24 May 2024, 9:30 PM",Pro-Palestine,2024-05-24
561,South Africa,SABC,Pro Palestine,"BREAKING NEWS: ICJ orders Israel to halt its offensive in Rafah, Gaza","24 May 2024, 2:50 PM",Pro-Palestine,2024-05-24
562,South Africa,SABC,Pro Palestine,"Ramaphosa welcomes Spain, Norway, Ireland's recognition of Palestine","22 May 2024, 5:38 PM",Pro-Palestine,2024-05-22
563,South Africa,SABC,Pro Palestine,Pope Francis comforts relatives of victims killed by Israeli forces,"18 May 2024, 1:53 PM",Pro-Palestine,2024-05-18
564,South Africa,SABC,Pro Palestine,Israel's targeting of Gaza hospitals decried as inhumane,"16 May 2024, 8:30 PM",Pro-Palestine,2024-05-16
565,South Africa,SABC,Pro Palestine,"Israel's evacuation order affects 300,000 civilians: UNRWA","13 May 2024, 12:10 PM",Pro-Palestine,2024-05-13
566,South Africa,SABC,Pro Palestine,Ramaphosa slams Israel for its reluctance to ceasefire,"10 May 2024, 7:17 AM",Pro-Palestine,2024-05-10
567,South Africa,SABC,Pro Palestine,Pandor wants ICC to issue arrest warrants for Israeli officials,"8 May 2024, 8:28 PM",Pro-Palestine,2024-05-08
568,South Africa,SABC,Pro Palestine,Calls mount in Southern Cape for ceasefire in Palestine,"1 May 2024, 7:45 PM",Pro-Palestine,2024-05-01
569,South Africa,SABC,Pro Palestine,Israel intensifies airstrikes on Gaza's Rafah,"25 April 2024, 5:35 PM",Pro-Israel,2024-04-25
570,South Africa,SABC,Pro Palestine,"Activists, political parties launch Week for Palestine","24 April 2024, 7:05 PM",Pro-Palestine,2024-04-24
571,South Africa,SABC,Pro Palestine,President Ramaphosa concerned Israel-Hamas war could spread further,"14 April 2024, 8:14 PM",Neutral,2024-04-14
572,South Africa,SABC,Pro Palestine,EFF urges Muslim community to reject parties supporting Israeli govt,"13 April 2024, 9:30 PM",Pro-Palestine,2024-04-13
573,South Africa,SABC,Pro Palestine,Twelve drown trying to reach aid at Gaza beach: Palestine authorities,"26 March 2024, 9:40 PM",Pro-Palestine,2024-03-26
574,South Africa,SABC,Pro Palestine,"Israel to attend new ceasefire talks, Gaza hunger crisis worsens","16 March 2024, 7:23 PM",,2024-03-16
575,South Africa,SABC,Pro Palestine,Israel calls on UN to press Hamas for the release of hostages,"12 March 2024, 11:18 AM",,2024-03-12
576,South Africa,SABC,Pro Palestine,Steenhuisen denies DA support of Israel,"5 March 2024, 9:51 AM",,2024-03-05
577,South Africa,SABC,Pro Palestine,Pro-Palestine protesters picket across country,"25 February 2024, 6:31 PM",,2024-02-25
578,South Africa,SABC,Pro Palestine,Israel intensifies strikes on Gaza's Rafah,"22 February 2024, 6:06 AM",,2024-02-22
579,South Africa,SABC,Pro Palestine,"US, Russia to speak on Israeli occupation at top UN court","21 February 2024, 7:22 AM",,2024-02-21
580,South Africa,SABC,Pro Palestine,ICJ cannot overlook the grim situation in Palestine: Amb Madonsela,"20 February 2024, 7:15 PM",,2024-02-20
581,South Africa,SABC,Pro Palestine,ICJ must declare Israeli's occupation as illegal,"19 February 2024, 3:05 PM",,2024-02-19
582,South Africa,SABC,Pro Palestine,ICJ opens hearings on Israel's occupation of Palestinian territories,"19 February 2024, 9:30 AM",,2024-02-19
583,South Africa,SABC,Pro Palestine,SA's move to take Israel to ICJ commended by SG of Fatah Movement,"17 February 2024, 7:03 PM",,2024-02-17
584,South Africa,SABC,Pro Palestine,Mandela would have approached ICJ over Palestine rights: Mashatile,"16 February 2024, 3:05 PM",,2024-02-16
585,South Africa,SABC,Pro Palestine,Israel not complying with ICJ order in Rafah: Pandor,"14 February 2024, 6:10 PM",,2024-02-14
586,South Africa,SABC,Pro Palestine,Govt concerned about attacks by Israel's Defence Force in Rafah,"13 February 2024, 6:48 PM",,2024-02-13
587,South Africa,SABC,Pro Palestine,Israel's continued bombing of Gaza is concerning: Mashatile,"11 February 2024, 6:51 AM",,2024-02-11
588,South Africa,SABC,Pro Palestine,Spain to send extra $3.8 million in aid to assist Palestine,"5 February 2024, 4:42 PM",,2024-02-05
589,South Africa,SABC,Pro Palestine,Israel's occupation one of root causes of the conflict: Navi Pillay,"2 February 2024, 4:29 PM",,2024-02-02
590,South Africa,SABC,Pro Palestine,Countries must stop funding Israel's military actions: Pandor,"31 January 2024, 6:28 PM",,2024-01-31
591,South Africa,SABC,Pro Palestine,ANC ready for potential sanctions over Palestine stance,"28 January 2024, 2:12 PM",,2024-01-28
592,South Africa,SABC,Pro Palestine,ACDP to challenge Ramaphosa on Palestine comments,"27 January 2024, 10:47 AM",,2024-01-27
593,South Africa,SABC,Pro Palestine,Fight for Palestine will not end with ICJ ruling: Allan Boesak,"27 January 2024, 10:18 AM",,2024-01-27
594,South Africa,SABC,Pro Palestine,DA calls on Israel to abide by ICJ ruling,"27 January 2024, 7:19 AM",,2024-01-27
595,South Africa,SABC,Pro Palestine,ANC elated with ICJ ruling in Israel-SA genocide case,"26 January 2024, 7:52 PM",,2024-01-26
596,South Africa,SABC,Pro Palestine,SA filed grossly unfounded case against Israel: US lawmakers,"25 January 2024, 11:47 AM",,2024-01-25
597,South Africa,SABC,Pro Palestine,ICJ to deliver judgment in SA-Israel case on Friday,"24 January 2024, 7:52 PM",,2024-01-24
598,South Africa,SABC,Pro Palestine,UN Chief urges end to Israel's occupation,"24 January 2024, 10:02 AM",,2024-01-24
599,South Africa,SABC,Pro Palestine,Gift of the Givers commends SA's ICJ case against Israel,"13 January 2024, 7:20 PM",,2024-01-13
600,South Africa,SABC,Pro Palestine,SA taking Israel to ICJ a significant move for a developing country',"13 January 2024, 11:32 AM",,2024-01-13
601,South Africa,SABC,Pro Palestine,SA case against Israel is to stop suffering of Palestinians: Lamola,"11 January 2024, 1:50 PM",,2024-01-11
602,South Africa,SABC,Pro Palestine,Bo-Kaap prayer service in support of SA's legal action against Israel,"10 January 2024, 9:26 PM",,2024-01-10
603,South Africa,SABC,Pro Palestine,SA has strong legal case against Israel: Ramaphosa,"10 January 2024, 6:12 AM",,2024-01-10
604,South Africa,SABC,Pro Palestine,"SA's case to stop genocide by Israel is robust, principled: Lamola","7 January 2024, 2:01 PM",,2024-01-07
605,South Africa,SABC,Pro Palestine,Palestine solidarity vigils in Cape Town set to continue indefinitely,"3 January 2024, 9:12 PM",,2024-01-03
606,South Africa,SABC,Pro Palestine,"Israeli tanks, missiles strike Gaza in offensive against Hamas","29 December 2023, 7:58 AM",,2023-12-29
607,South Africa,SABC,Pro Palestine,Free Palestine delegation calls for global action in support of Gaza,"28 December 2023, 4:48 PM",,2023-12-28
608,South Africa,SABC,Pro Palestine,ANC president to meet with Pro-Palestine parties on Monday,"18 December 2023, 12:04 PM",,2023-12-18
609,South Africa,SABC,Pro Palestine,Israeli drone strike in Syria killed three Hezbollah members: sources,"9 December 2023, 11:03 AM",,2023-12-09
610,South Africa,SABC,Pro Palestine,U.S. unlikely to rethink weapons supplies to Israel,"6 December 2023, 6:39 AM",,2023-12-06
611,South Africa,SABC,Pro Palestine,Israel intensifies southern Gaza offensive,"5 December 2023, 6:47 AM",,2023-12-05
612,South Africa,SABC,Pro Palestine,Anti-apartheid movement to be launched in solidarity with Palestine,"4 December 2023, 1:41 PM",,2023-12-04
613,South Africa,SABC,Pro Palestine,Israeli forces lead offensive across Gaza Strip as tensions build,"4 December 2023, 7:16 AM",,2023-12-04
614,South Africa,SABC,Pro Palestine,Ramaphosa concerned about ending of Israel/Hamas truce,"1 December 2023, 5:55 PM",,2023-12-01
615,South Africa,SABC,Pro Palestine,Mbalula denies ANC ultimatum claim by PA over Israel support,"23 November 2023, 8:15 PM",,2023-11-23
616,South Africa,SABC,Pro Palestine,Patriotic Alliance will not boycott Israeli products: Mckenzie,"22 November 2023, 9:05 PM",,2023-11-22
617,South Africa,SABC,Pro Palestine,Malema praises ANC for supporting Israeli embassy closure motion,"22 November 2023, 7:53 AM",,2023-11-22
618,South Africa,SABC,Pro Palestine,National Assembly passes motion to close Israeli Embassy in SA,"21 November 2023, 9:21 PM",,2023-11-21
619,South Africa,SABC,Pro Palestine,Parliament to vote on EFF's Israeli Embassy motion,"21 November 2023, 10:56 AM",,2023-11-21
620,South Africa,SABC,Pro Palestine,Israel's Foreign Ministry recalls its Ambassador to SA,"21 November 2023, 12:18 AM",,2023-11-21
621,South Africa,SABC,Pro Palestine,"Multi-faith clergy unite, advocate for closure of Israeli Embassy","19 November 2023, 9:46 PM",,2023-11-19
622,South Africa,SABC,Pro Palestine,"Malema calls for boycott, divestment and sanctions against Israel","16 November 2023, 7:10 PM",,2023-11-16
623,South Africa,SABC,Pro Palestine,ANC welcomes referral of Israel to the ICC,"16 November 2023, 12:30 PM",,2023-11-16
624,South Africa,SABC,Pro Palestine,SA files referral for ICC investigation into Israel's attacks on Gaza,"15 November 2023, 8:05 PM",,2023-11-15
625,South Africa,SABC,Pro Palestine,Calm restored at pro-Palestine march in Cape Town,"12 November 2023, 4:14 PM",,2023-11-12
626,South Africa,SABC,Pro Palestine,We need to put pressure on Israel to stop the killings – Mashatile,"12 November 2023, 1:51 AM",,2023-11-12
627,South Africa,SABC,Pro Palestine,Al Jama-ah supports govt's proposal to stop sale of arms to Israel,"8 November 2023, 8:22 AM",,2023-11-08
628,South Africa,SABC,Pro Palestine,Minister Pandor says Israeli PM should be prosecuted at ICC,"7 November 2023, 8:00 PM",,2023-11-07
629,South Africa,SABC,Pro Palestine,Over 10 000 Palestinians killed in Israeli assault: Health officials,"7 November 2023, 5:57 PM",,2023-11-07
630,South Africa,SABC,Pro Palestine,"Israel is open to Gaza fighting pauses for aid, hostages","7 November 2023, 7:25 AM",,2023-11-07
631,South Africa,SABC,Pro Palestine,Appeal for pro-Palestine march to be postponed in London,"6 November 2023, 9:29 PM",,2023-11-06
632,South Africa,SABC,Pro Palestine,FF Plus unhappy with SA's decision to withdraw diplomats from Israel,"6 November 2023, 8:53 PM",,2023-11-06
633,South Africa,SABC,Pro Palestine,SA to recall its diplomats from Israel: Cabinet,"6 November 2023, 11:32 AM",,2023-11-06
634,South Africa,SABC,Pro Palestine,Vavi condemns US for supplying arms to Israel in the Israel-Hamas war,"4 November 2023, 12:52 PM",,2023-11-04
635,South Africa,SABC,Pro Palestine,DA removes Cachalia over comments on Israel's actions in Gaza,"3 November 2023, 7:40 AM",,2023-11-03
636,South Africa,SABC,Pro Palestine,Israel urged to halt attacks to allow humanitarian aid in Gaza,"3 November 2023, 6:20 AM",,2023-11-03
637,South Africa,SABC,Pro Palestine,Israel's strikes on refugee camp kills more than 195 people,"2 November 2023, 9:58 AM",,2023-11-02
638,South Africa,SABC,Pro Palestine,Capetonians march in solidarity with Palestine,"28 October 2023, 5:11 PM",,2023-10-28
639,South Africa,SABC,Pro Palestine,Israel stepping up ground operations in Gaza Strip,"28 October 2023, 11:51 AM",,2023-10-28
640,South Africa,SABC,Pro Palestine,Pro-Palestine march in Bloemfontein: memorandum delivered to Premier,"27 October 2023, 7:45 PM",,2023-10-27
641,South Africa,SABC,Pro Palestine,Malaysia warns Meta and TikTok against blocking pro-Palestine content,"26 October 2023, 8:21 PM",,2023-10-26
642,South Africa,SABC,Pro Palestine,EFF accuses SA government of cowardice over Israel-Hamas conflict,"23 October 2023, 12:34 PM",,2023-10-23
643,South Africa,SABC,Pro Palestine,Boesak calls for Israel to be branded as an apartheid state,"22 October 2023, 8:05 PM",,2023-10-22
644,South Africa,SABC,Pro Palestine,Israel won't engage in any talks until its dealt with Hamas: Chikli,"17 October 2023, 8:33 PM",,2023-10-17
645,South Africa,SABC,Pro Palestine,We have no confidence in America: Pro-Palestine picketers in Durban,"17 October 2023, 2:12 PM",,2023-10-17
646,South Africa,SABC,Pro Palestine,Ramaphosa reiterates SA's non-partisan position on Hamas-Israeli war,"16 October 2023, 9:29 PM",,2023-10-16
647,South Africa,SABC,Pro Palestine,Scenes of desperation at Rafah crossing between Egypt and Palestine,"16 October 2023, 7:00 PM",,2023-10-16
648,South Africa,SABC,Pro Palestine,Israel determined to ensure the safety of its civilians: Ambassador,"15 October 2023, 3:32 PM",,2023-10-15
649,South Africa,SABC,Pro Palestine,Pandor calls for boycott of Israeli goods amid ongoing Gaza strikes,"15 October 2023, 6:30 AM",,2023-10-15
650,South Africa,SABC,Pro Palestine,Israel prepares for ground offensive in Gaza,"13 October 2023, 5:55 PM",,2023-10-13
651,South Africa,SABC,Pro Palestine,Biden warns Iran over Gaza; Israel forms emergency war cabinet,"12 October 2023, 5:48 AM",,2023-10-12
652,South Africa,SABC,Pro Palestine,Call for SA govt to cut ties with Israel,"11 October 2023, 8:06 PM",,2023-10-11
653,South Africa,SABC,Pro Palestine,"Hamas, Israel attacks described as “Bone-chilling”","11 October 2023, 6:11 PM",,2023-10-11
654,South Africa,SABC,Pro Palestine,Hamas threatens to kill captives if Israel strikes civilians,"10 October 2023, 6:51 AM",,2023-10-10
655,South Africa,SABC,Pro Palestine,"Israel on war footing, Hamas threatens to kill captives","10 October 2023, 12:12 AM",,2023-10-10
656,South Africa,SABC,Pro Palestine,Schumer calls on Xi to support Israel after Hamas attacks,"9 October 2023, 6:59 PM",,2023-10-09
657,South Africa,SABC,Pro Palestine,Hamas-Israeli conflict causes massive flight cancellation in Tel Aviv,"9 October 2023, 8:06 AM",,2023-10-09
658,South Africa,SABC,Pro Palestine,Ongoing Israeli strikes on Gaza result in more deaths,"8 October 2023, 5:21 PM",,2023-10-08
659,South Africa,SABC,Pro Palestine,Brazil to call emergency meeting of UNSC over attack on Israel,"7 October 2023, 5:19 PM",,2023-10-07
660,South Africa,SABC,Pro Palestine,"Violence worsens in West Bank, Israel","21 August 2023, 10:36 PM",,2023-08-21
661,South Africa,SABC,Pro Palestine,NFP calls for SA Embassy in Israel to be downgraded,"2 March 2023, 5:10 PM",,2023-03-02
662,South Africa,SABC,Pro Palestine,Anglican Church raises awareness on injustices against Palestine,"30 September 2022, 5:55 PM",,2022-09-30
663,South Africa,SABC,Pro Palestine,Israel failed to implement UN resolutions aimed to bring peace to Middle East: Pandor,"26 July 2022, 9:29 PM",,2022-07-26
664,South Africa,SABC,Pro Palestine,Mahmoud Abbas confident that a two-state solution will resolve the Israeli-Palestinian conflict,"16 July 2022, 6:05 PM",,2022-07-16
665,South Africa,SABC,Pro Palestine,Israeli police beat mourners at funeral of slain Palestinian journalist,"14 May 2022, 8:01 AM",,2022-05-14
666,South Africa,SABC,Pro Palestine,Mogoeng ordered to issue an unconditional apology for his pro-Israel comments,"21 January 2022, 6:05 AM",,2022-01-21
667,South Africa,SABC,Pro Palestine,SA BDS Coalition to continue pursuing Chief Justice Mogoeng for his Israel comments,"10 October 2021, 9:49 PM",,2021-10-10
668,South Africa,SABC,Pro Palestine,Israel's new Prime Minister affirms efficacy of third coronavirus booster shot,"27 September 2021, 9:09 PM",,2021-09-27
669,South Africa,SABC,Pro Palestine,Israel strikes Gaza in retaliation for rocket fire: military,"12 September 2021, 7:41 AM",,2021-09-12
670,South Africa,SABC,Pro Palestine,SA decries AU Commission decision to grant Israel observer status in the union,"28 July 2021, 10:34 AM",,2021-07-28
671,South Africa,SABC,Pro Palestine,Former centre-left politician Herzog elected Israel's president,"2 June 2021, 2:39 PM",,2021-06-02
672,South Africa,SABC,Pro Palestine,Growing calls for SA to close the Israel embassy in Pretoria,"30 May 2021, 1:30 PM",,2021-05-30
673,South Africa,SABC,Pro Palestine,UN rights chief says Israeli strikes on Gaza may be war crimes,"27 May 2021, 3:20 PM",,2021-05-27
674,South Africa,SABC,Pro Palestine,ANC to hold solidarity picket in support of the people of Palestine,"25 May 2021, 7:00 AM",,2021-05-25
675,South Africa,SABC,Pro Palestine,Pro-Palestine supporters take part in solidarity picket at Sea Point in Cape Town,"23 May 2021, 3:09 PM",,2021-05-23
676,South Africa,SABC,Pro Palestine,Durban dock workers boycott offloading of Israeli vessels in KZN,"21 May 2021, 10:42 AM",,2021-05-21
677,South Africa,SABC,Pro Palestine,"SASCO, SACP youth call for immediate closure of Israel Embassy","20 May 2021, 8:01 PM",,2021-05-20
678,South Africa,SABC,Pro Palestine,Israeli air strikes hit Gaza as fighting enters second week,"17 May 2021, 2:23 PM",,2021-05-17
679,South Africa,SABC,Pro Palestine,Israel bombs Hamas Gaza chief's home as fighting enters seventh day,"16 May 2021, 9:39 AM",,2021-05-16
680,South Africa,SABC,Pro Palestine,ICC prosecutor warns against crimes in escalating Israeli-Palestinian violence,"14 May 2021, 1:05 PM",,2021-05-14
681,South Africa,SABC,Pro Palestine,Kenyan police disperse protesters demonstrating against Israeli attacks on Gaza,"13 May 2021, 4:22 PM",,2021-05-13
682,South Africa,SABC,Pro Palestine,AU expresses solidarity with Palestine as violence escalates in Gaza,"12 May 2021, 3:34 PM",,2021-05-12
683,South Africa,SABC,Pro Palestine,MJC urges all political parties to support Palestine,"12 May 2021, 12:22 PM",,2021-05-12
684,South Africa,SABC,Pro Palestine,Protests across South Africa in condemnation of Israel's attacks on Palestinians in Gaza,"11 May 2021, 12:37 PM",,2021-05-11
685,South Africa,SABC,Pro Palestine,"Israeli police, Palestinians clash at Jerusalem's Al-Aqsa, scores injured","8 May 2021, 7:59 AM",,2021-05-08
686,South Africa,SABC,Pro Palestine,Israeli authorities commit apartheid crimes: HRW report,"28 April 2021, 7:24 AM",,2021-04-28
687,South Africa,SABC,Pro Palestine,Chief Justice Mogoeng to appeal JCC ruling that he apologise for Israel comments,"14 March 2021, 4:15 PM",,2021-03-14
688,South Africa,SABC,Pro Palestine,Chief Justice Mogoeng ordered to issue apology and retraction for pro-Israeli utterances,"4 March 2021, 9:31 PM",,2021-03-04
689,South Africa,SABC,Pro Palestine,Israel to vaccinate Palestinian labourers against COVID-19,"28 February 2021, 8:13 PM",,2021-02-28
690,South Africa,SABC,Pro Palestine,Africa for Palestine to lodge complaint against Chief Justice Mogoeng with Judicial Service Commission,"11 December 2020, 8:30 PM",,2020-12-11
691,South Africa,SABC,Pro Palestine,"Bahrain open to imports from Israeli settlements, Palestinians fume","3 December 2020, 3:39 PM",,2020-12-03
692,South Africa,SABC,Pro Palestine,"As Arab Gulf starts opening to Israel, Palestinians face a reckoning","15 September 2020, 4:01 PM",,2020-09-15
693,South Africa,SABC,Pro Palestine,Stop or suspend West Bank annexation? Devil in the detail for Israel-UAE deal,"2 September 2020, 8:11 PM",,2020-09-02
694,South Africa,SABC,Pro Palestine,Israel's move to take Palestinian territory is a 'declaration of war': Kathrada Foundation,"1 July 2020, 5:55 PM",,2020-07-01
695,South Africa,SABC,Pro Palestine,Open letter to Chief Justice Mogoeng on his utterances on Israel,"28 June 2020, 4:08 PM",,2020-06-28
